"Jl. Firdaus 2 No.76, Pasiran, Singkawang Bar., Kota Singkawang, Kalimantan Barat 79122, Indonesia",Kota Samarinda,Kalimantan Timur
"Jl. Firdaus 2 No.76, Pasiran, Singkawang Bar., Kota Singkawang, Kalimantan Barat 79122, Indonesia",Kota Samarinda,Kalimantan Timur
"Jl. R. Suprapto No 28 E-F, Sampit, Delta Pawan, Kabupaten Ketapang, Kalimantan Barat 78811, Indonesia",Kota Samarinda,Kalimantan Timur
"Jl. Ahmad Yani, Mabuun, Murung Pudak, Kabupaten Tabalong, Kalimantan Selatan 71571, Indonesia",Kabupaten Kutai Kartanegara,Kalimantan Timur
"Jl. Mulawarman No.23, Pelabuhan, Kec. Samarinda Kota, Kota Samarinda, Kalimantan Timur 75242, Indonesia",Kota Samarinda,Kalimantan Timur
"Kota Samarinda, Kalimantan Timur, Kota Samarinda, Kalimantan Timur",Kota Samarinda,Kalimantan Timur
"Jl. Kapten Soedjono.Aj, Simpang Pasir, Kec. Palaran, Kota Samarinda, Kalimantan Timur 75251, Indonesia",Kota Samarinda,Kalimantan Timur
"Jl. Mulawarman No.23, Pelabuhan, Kec. Samarinda Kota, Kota Samarinda, Kalimantan Timur 75242, Indonesia",Kota Samarinda,Kalimantan Timur
"Jl. Kapten Soedjono.Aj, Simpang Pasir, Kec. Palaran, Kota Samarinda, Kalimantan Timur 75251, Indonesia",Kota Samarinda,Kalimantan Timur
"Jl. K. Haji Ahmad Mukhsin No. 36, Timbau, Tenggarong, Timbau, Kec. Tenggarong, Kabupaten Kutai Kartanegara, Kalimantan Timur 75513, Indonesia",Kota Samarinda,Kalimantan Timur
Jl. Kh Akhmad Mukhsin No. 36 Tenggarong Kalimantan Timur,Kabupaten Kutai Kartanegara,Kalimantan Timur
"Jembayan Dalam, Kec. Loa Kulu, Kabupaten Kutai Kartanegara, Kalimantan Timur 75571, Indonesia",Kabupaten Kutai Kartanegara,Kalimantan Timur
"Jl. P. AntasariTenggarong, Sempaja Utara, Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75127, Indonesia",Kota Samarinda,Kalimantan Timur
"Jl. K. Haji Ahmad Mukhsin No. 36, Timbau, Tenggarong, Timbau, Kec. Tenggarong, Kabupaten Kutai Kartanegara, Kalimantan Timur 75513, Indonesia",Kabupaten Kutai Kartanegara,Kalimantan Timur
"Jl. Yos Sudarso Ii No. 17 B-C, Sangatta, Kalimantan Timur",Kabupaten Kutai Timur,Kalimantan Timur
"Jl. Jend. Ahmad Yani, Sangatta Utara, Kabupaten Kutai Timur, Kalimantan Timur",Kabupaten Kutai Timur,Kalimantan Timur
