Jl. Kampung Melayu No. 24 Bukit Merapin Pangkalpinang,Kota Pangkal Pinang,Kepulauan Bangka Belitung
"Jl. Jend Sudirman No. 31 Pangkalpinang, Kota Pangkal Pinang, Bangka Belitung",Kota Pangkal Pinang,Kepulauan Bangka Belitung
"Jl. Jend. Sudirman No. 31, Pangkalpinang, Bangka Belitung",Kota Pangkal Pinang,Kepulauan Bangka Belitung
"Jl. Jend Sudirman No. 31 Pangkalpinang, Kota Pangkal Pinang, Bangka Belitung",Kota Pangkal Pinang,Kepulauan Bangka Belitung
"Ruko City Hall Jl Pulau Bangka Blok B.1-2, Bangka Belitung",Kota Pangkal Pinang,Kepulauan Bangka Belitung
"Jl. Pulau Bangka Blok B1/2 Air Itam, Kota Pangkal Pinang, Bangka Belitung",Kota Pangkal Pinang,Kepulauan Bangka Belitung
"Jl. Merdeka No. 6, Tanjung Pandan, Kabupaten Belitung, Bangka Belitung",Kabupaten Belitung,Kepulauan Bangka Belitung
"Jl. Merdeka No. 6 Tanjung Pandan, Kabupaten Belitung, Bangka Belitung",Kabupaten Belitung,Kepulauan Bangka Belitung
"Jl Merdeka No. 6 Tanjung Pandan, Kabupaten Belitung, Bangka Belitung",Kabupaten Belitung,Kepulauan Bangka Belitung
"Jl. Yos Sudarso No.87, Tanjung, Mentok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung 33351, Indonesia",Kabupaten Bangka Barat,Kepulauan Bangka Belitung
Rumah Sakit Sejiran Setason Jl. Kadur Dalam Mentok,Kabupaten Bangka Barat,Kepulauan Bangka Belitung
"Jl. Yos Sudarso No I / 78 Kec. Mentok, Kabupaten Bangka Barat, Bangka Belitung",Kabupaten Bangka Barat,Kepulauan Bangka Belitung
"Jl. Yos Sudarso No.87, Tanjung, Mentok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung 33351, Indonesia",Kabupaten Bangka Barat,Kepulauan Bangka Belitung
"Jl. Jenderal Sudirman No.341a, Parit Padang, Sungai Liat, Kabupaten Bangka, Kepulauan Bangka Belitung 33211,",Kabupaten Bangka,Kepulauan Bangka Belitung
"Jl. Jend. Sudirman No.18 Sungailiat, Kabupaten Bangka, Bangka Belitung",Kabupaten Bangka,Kepulauan Bangka Belitung
"Jl. Jend Sudirman No.18 Sungailiat, Kabupaten Bangka, Bangka Belitung",Kabupaten Bangka,Kepulauan Bangka Belitung
"Jl. Gajah Mada Kel Kuto Panji, Kec Belinyu, Kuto Panji, Belinyu, Kabupaten Bangka",Kabupaten Bangka,Kepulauan Bangka Belitung
"Jl. Pangkalpinang- Mentok Kelapa, Kabupaten Bangka Barat, Bangka Belitung",Kabupaten Bangka Barat,Kepulauan Bangka Belitung
"Jl. Ahmad Yani Desa Lenggang Kec Gantung, Bangka Belitung",Kabupaten Belitung Timur,Kepulauan Bangka Belitung
Jl. Air Kuang No 15 B Parit Tiga Jebus Bangka 33362,Kabupaten Bangka Barat,Kepulauan Bangka Belitung
"Desa Air Kuang No.2  Kec Parit Tiga Jebus, Bangka Belitung",Kabupaten Bangka Barat,Kepulauan Bangka Belitung
"Jl Jend Sudirman No 414 Belitung Timur Manggar, Bangka Belitung",Kabupaten Bangka,Kepulauan Bangka Belitung
"Jl. Jend. Sudirman No. 168, Manggar, Kabupaten Belitung Timur, Bangka Belitung",Kabupaten Belitung Timur,Kepulauan Bangka Belitung
