"Jl. Kijang, Pasangkayu, Sulawesi Barat, Kabupaten Pasangkayu, Sulawesi Barat",Kabupaten Pasangkayu,Sulawesi Barat
"Jl. Kijang, Pasangkayu, Kabupaten Mamuju Utara, Sulawesi Barat",Kabupaten Pasangkayu,Sulawesi Barat
"Jl. Jenderal Sudirman No.132, Tumpiling, Wonomulyo",Kabupaten Polewali Mandar,Sulawesi Barat
"Jl. Jenderal Sudirman No.132, Tumpiling, Wonomulyo",Kabupaten Polewali Mandar,Sulawesi Barat
"Jl. Poros Majene - Mamuju No.44, Sidodadi, Wonomulyo, Kabupaten Polewali",Kabupaten Polewali Mandar,Sulawesi Barat
"Jl. Jend Sudirman, Simboro, Kec. Simboro Dan Kepulauan",Kabupaten Mamuju,Sulawesi Barat
"Jl. Jend Sudirman, Simboro, Kec. Simboro Dan Kepulauan",Kabupaten Mamuju,Sulawesi Barat
"Jl. Jend Sudirman, Simboro, Kec. Simboro Dan Kepulauan",Kabupaten Mamuju,Sulawesi Barat
"Jl. Poros Majene-Mamuju, Kec. Simboro, Kabupaten Mamuju, SULAWESI BARA",Kabupaten Mamuju,Sulawesi Barat
"Jl. Yos Sudarso No.51, Binanga, Kec. Mamuju, Sulawesi Barat",Kabupaten Mamuju,Sulawesi Barat
"Jl. Mr. Muh. Yamin No.90, Madatte, Polewali, Kabupaten Polewali Mandar, Sul",Kabupaten Polewali Mandar,Sulawesi Barat
"Jl. Poros Majene - Mamuju No.166-132, Wattang, Polewali, Kabupaten Polewal",Kabupaten Polewali Mandar,Sulawesi Barat
