address,city,province,latitude,longitude
Jl. Veteran No.1 Dauh Puri Kaja Kec. Denpasar Utara Kota Denpasar Bali 80232,Kota Denpasar,Bali,-8.6554425,115.2165659
Jl. Veteran No.1 Dauh Puri Kaja Kec. Denpasar Utara Kota Denpasar Bali 80232,Kota Denpasar,Bali,-8.6554425,115.2165659
Jl. Veteran No.1 Dauh Puri Kaja Kec. Denpasar Utara Kota Denpasar Bali 80232,Kota Denpasar,Bali,-8.6554425,115.2165659
"Jl. Raya Ubud No.14, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80561",Kabupaten Gianyar,Bali,-8.507477699999999,115.264195
"Jl. Raya Ubud No.14, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80561",Kabupaten Gianyar,Bali,-8.507477699999999,115.264195
"Jl. Raya Ubud No.14, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80561",Kabupaten Gianyar,Bali,-8.507477699999999,115.264195
"Jl. Jend. Ahmad Yani No.60, Kaliuntu, Kec. Buleleng, Kabupaten Buleleng, Bali 81116",Kabupaten Buleleng,Bali,-8.1113792,115.0863559
"Jl. Jend. Ahmad Yani No. 60, Singaraja, Kota Singaraja, Bali",Kota Singaraja,Bali,-8.1113792,115.0863559
"Jl. Jend. Ahmad Yani No.60, Kaliuntu, Kec. Buleleng, Kabupaten Buleleng, Bali 81116",Kabupaten Buleleng,Bali,-8.1113792,115.0863559
"Jl. Jend. Ahmad Yani No.60, Kaliuntu, Kec. Buleleng, Kabupaten Buleleng, Bali 81116",Kabupaten Buleleng,Bali,-8.1113792,115.0863559
"Jl. Raya Pelabuhan Benoa No.2, Pedungan, Kec. Denpasar Sel., Kota Denpasar, Bali 80222",Kota Denpasar,Bali,-8.717379300000001,115.2152958
"Jl. Raya Puputan No.98, Renon, Kec. Denpasar Sel., Kota Denpasar, Bali 80234",Kota Denpasar,Bali,-8.6731403,115.2290875
"Jl. Cok Gede Rai No.85-83, Peliatan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",Kabupaten Gianyar,Bali,-8.5182934,115.2690982
"Jl. Raya Puputan No.98, Renon, Kec. Denpasar Sel., Kota Denpasar, Bali 80234",Kota Denpasar,Bali,-8.6731403,115.2290875
"Jl. Raya Puputan No.98, Renon, Kec. Denpasar Sel., Kota Denpasar, Bali 80234",Kota Denpasar,Bali,-8.6731403,115.2290875
"Jl. Gajah Mada No.105, Pemecutan, Kec. Denpasar Bar., Kota Denpasar, Bali 80118",Kota Denpasar,Bali,-8.655388,115.2118392
"Jl. Gajah Mada No.105, Pemecutan, Kec. Denpasar Bar., Kota Denpasar, Bali 80118",Kota Denpasar,Bali,-8.655388,115.2118392
"Jl. Gajah Mada Desa Dauh Puri Kangin No.3, Dauh Puri Kangin, Kec. Denpasar Bar., Kota Denpasar, Bali 80112",Kota Denpasar,Bali,-8.6560108,115.2157586
"Jl. Ngurah Rai-Gianyar No.75, Gianyar, Kec. Gianyar, Kabupaten Gianyar, Bali 80511",Kabupaten Gianyar,Bali,-8.5414481,115.3287036
"Jl. Ngurah Rai-Gianyar No.75, Gianyar, Kec. Gianyar, Kabupaten Gianyar, Bali 80511",Kabupaten Gianyar,Bali,-8.5414481,115.3287036
"Jl. Bypass Ngurah Rai No.62 A, Sanur, Kec. Denpasar Sel., Kota Denpasar, Bali 80228, Indonesia",Kota Denpasar,Bali,-8.692751699999999,115.2587317
"Jl. By Pass Ngurah Rai No.35, Sanur, Kec. Denpasar Sel., Kota Denpasar, Bali 80227",Kota Denpasar,Bali,-8.6918655,115.2583372
"Jl. Jenderal Sudirman No. 64-66, Seririt, Singaraj",Kota Singaraja,Bali,-8.1926149,114.9378216
"Jl Jenderal Sudirman, No. 64 - 66, Singaraja, Seririt, Kec. Buleleng, Kabupaten Buleleng, Bali 81153",Kabupaten Buleleng,Bali,-8.1174883,115.0818733
"Jl Jenderal Sudirman, No. 64 - 66, Singaraja, Seririt, Kec. Buleleng, Kabupaten Buleleng, Bali 81153",Kabupaten Buleleng,Bali,-8.1174883,115.0818733
"Jl. Imam Bonjol No.443, Pemecutan Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80119",Kota Denpasar,Bali,-8.6889604,115.1920423
"Jl. Imam Bonjol No.443, Pemecutan Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80119",Kota Denpasar,Bali,-8.6889604,115.1920423
"Jl. Sudirman No. 104, Amlapura, Subagan, Karangasem, Subagan, Kec. Karangasem, Bali, 80813",Kabupaten Karangasem,Bali,-8.4539809,115.6019907
"Jl. Sudirman No. 104, Amlapura, Subagan, Karangasem, Subagan, Kec. Karangasem, Bali, 80813",Kabupaten Karangasem,Bali,-8.4539809,115.6019907
"Jalan Padang Udayana No.11 Denpasar 80112, Dauh Puri Kangin, Kec. Denpasar Bar., Kota Denpasar, Bali 80118",Kota Denpasar,Bali,-8.651941299999999,115.190097
"Jl. Udayana No.11, Dauh Puri Kangin, Kec. Denpasar Bar., Kota Denpasar, Bali 80232",Kabupaten Gianyar,Bali,-8.6589124,115.2168466
Jl. Udayana No.11 Dauh Puri Kangin Kec. Denpasar Bar. Kota Denpasar Bali 80232,Kota Denpasar,Bali,-8.6589124,115.2168466
"Jl. Diponegoro, No. 49, Semarapura Kangin, Klungkung, Semarapura Kelod Kangin, Kec. Klungkung, Kabupaten Klungkung, Bali 80716",Kabupaten Klungkung,Bali,-8.5354192,115.4051799
"Jl. Diponegoro, No. 49, Semarapura Kangin, Klungkung, Semarapura Kelod Kangin, Kec. Klungkung, Kabupaten Klungkung, Bali 80716",Kabupaten Klungkung,Bali,-8.5354192,115.4051799
"Jl. Celuk Sukawati No.57A, Batubulan, Kec. Sukawati, Kabupaten Gianyar, Bali 80582",Kabupaten Gianyar,Bali,-8.6034779,115.25923
"Jl. Raya Sukawati, Sukawati, Gianyar, Kabupaten Gianyar, Bali 80582",Kabupaten Gianyar,Bali,-8.5918423,115.282606
"Jl. Celuk Sukawati No.57a, Batubulan, Kec. Sukawati, Kabupaten Gianyar, Bali 80582, Indonesia",Kabupaten Gianyar,Bali,-8.6034779,115.25923
"Jl. Gatot Subroto Ii B, Dangin Puri Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80234",Kota Denpasar,Bali,-8.6371241,115.2202495
"Jl. Gatot Subroto Barat, Ubung, Kec. Denpasar Utara, Kota Denpasar, Bali 80118, Indonesia",Kota Denpasar,Bali,-8.6376218,115.1989767
"Jl. Gatot Subroto Ii B, Dangin Puri Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80234",Kota Denpasar,Bali,-8.6371241,115.2202495
"Jl. Gatot Subroto, No. 45, Putri Kaja, Denpasar Barat, Tonja, Kec. Denpasar Utara, Kota Denpasar, Bali 80237",Kota Denpasar,Bali,-8.639352200000001,115.2065158
"Gg. Taman Sari II B No.5b, Sesetan, Kec. Denpasar Sel., Kota Denpasar, Bali 80223, Indonesia",Kota Denpasar,Bali,-8.6911573,115.2155676
"Jl. Raya Sesetan No.142, Sesetan, Kec. Denpasar Sel., Kota Denpasar, Bali 80223",Kota Denpasar,Bali,-8.691951699999999,115.2173076
"Jl. Wr Supratman No.289, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237",Kota Denpasar,Bali,-8.6398733,115.2525051
"Jl. Wr Supratman No.289, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237",Kota Denpasar,Bali,-8.6398733,115.2525051
"Jl. Wr Supratman No.289, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237",Kota Denpasar,Bali,-8.6398733,115.2525051
"Jl. Mahendradatta No.18, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80119",Kota Denpasar,Bali,-8.679038499999999,115.1904374
"Jl. Mahendradatta No.18, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80119",Kota Denpasar,Bali,-8.679038499999999,115.1904374
"Jl. Mahendradatta No.18, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80119",Kota Denpasar,Bali,-8.679038499999999,115.1904374
"Kantor Cabang Pembantu, Jl. Teuku Umar No.85, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80113",Kota Denpasar,Bali,-8.6730406,115.2082504
"Kantor Cabang Pembantu, Jl. Teuku Umar No.85, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80113",Kota Denpasar,Bali,-8.6730406,115.2082504
"Kantor Cabang Pembantu, Jl. Teuku Umar No.85, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80113",Kota Denpasar,Bali,-8.6730406,115.2082504
"Jl. Padma No.32, Penatih, Kec. Denpasar Tim., Kota Denpasar, Bali 80115",Kota Denpasar,Bali,-8.6233916,115.2323064
"Jl. Brigjen Ngurah Rai No.68, Bebalang, Kec. Bangli, Kabupaten Bangli, Bali 80614",Kabupaten Bangli,Bali,-8.4660438,115.3523027
"Jl. Raya Sukawati, Sukawati, Gianyar, Kabupaten Gianyar, Bali 80582",Kabupaten Gianyar,Bali,-8.5918423,115.282606
"Jl. Gatot Subroto Ii B, Dangin Puri Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80234",Kota Denpasar,Bali,-8.6371241,115.2202495
"Jl. Gatot Subroto Ii B, Dangin Puri Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80234",Kota Denpasar,Bali,-8.6371241,115.2202495
"Jl. Gatot Subroto Ii B, Dangin Puri Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80234",Kota Denpasar,Bali,-8.6371241,115.2202495
"Jl. Raya Kuta No.888x, Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kabupaten Badung,Bali,-8.7344584,115.1779281
"Jl Raya Kuta No 456 Tuban 80361, Kabupaten Badung, Bali",Kabupaten Badung,Bali,-8.7331828,115.1771049
"Jl. Raya Kuta No. 456 Kuta Badung Bali, Bali",Kabupaten Badung,Bali,-8.732976899999999,115.1774986
"Jl. Gajah Mada No.135, Dauh Peken, Kec. Tabanan, Kabupaten Tabanan, Bali 82113, Indonesia",Kabupaten Badung,Bali,-8.5388153,115.1226065
"Jl Raya Kuta No.456 Tuban 80361, Kabupaten Badung, Bali",Kabupaten Badung,Bali,-8.7331828,115.1771049
"Jl. Raya Kuta No.888x, Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kabupaten Badung,Bali,-8.7344584,115.1779281
"Jl. Raya Kuta No.99, Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kabupaten Badung,Bali,-8.7136364,115.1812241
"Wisti Sabha Building Lantai 1 / 6, Tuban, Kuta, Tuban, Badung, Kabupaten Badung, Bali 80031",Kabupaten Badung,Bali,-8.7428142,115.1629668
"Jl Jend. Ahmad Yani No.99 X Kediri Tabanan, Bali",Kabupaten Badung,Bali,-8.5591796,115.1491238
"Jl Soekarno No 77 X Banjar Anyar Kediri Tabanan, Bali",Kabupaten Tabanan,Bali,-8.536186100000002,115.1444487
"Jl. Ir. Soekarno No. 77A Banjar Anyar, Kediri, Bali",Kabupaten Badung,Bali,-8.553045299999999,115.1350915
"Banjar Anyar, Kediri, Tabanan Regency, Bali 82121, Bali",Kabupaten Tabanan,Bali,-8.536186100000002,115.1444487
"Banjar Anyar, Kec. Kediri, Kabupaten Tabanan, Bali 82121",Kabupaten Tabanan,Bali,-8.536186100000002,115.1444487
"Jl. Gajah Mada No.135, Dauh Peken, Kec. Tabanan, Kabupaten Tabanan, Bali 82113, Indonesia",Kabupaten Badung,Bali,-8.5388153,115.1226065
"Jl. Gajah Mada No.135, Dauh Peken, Kec. Tabanan, Kabupaten Tabanan, Bali 82113, Indonesia",Kabupaten Tabanan,Bali,-8.5388153,115.1226065
"Jl. Ngurah Rai No.32 - 34, Loloan Tim., Kec. Jembrana, Kabupaten Jembrana, Bali 82200",Kabupaten Jembrana,Bali,-8.360905899999999,114.627908
"Jl. Ngurah Rai No.119, Pendem, Kec. Jembrana, Kabupaten Jembrana, Bali 82218, Indonesia",Kabupaten Jembrana,Bali,-8.360647199999999,114.6277867
"Jl. Ngurah Rai No.32 - 34, Loloan Tim., Kec. Jembrana, Kabupaten Jembrana, Bali 82200",Kota Negara,Bali,-8.360905899999999,114.627908
"Jl. Raya Sempidi No.39, Sempidi, Kec. Mengwi, Kabupaten Badung, Bali 80631, Indonesia",Kabupaten Badung,Bali,-8.5995824,115.1863917
"Jl. Raya Sempidi No.40, Sempidi, Kec. Mengwi, Kabupaten Badung, Bali 80351",Kabupaten Badung,Bali,-8.599659899999999,115.1865512
"Jl. Raya Legian No.494 E, Legian, Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kabupaten Badung,Bali,-8.697482200000001,115.1690099
"Pertokoan Canggu Square Unit 5 & 6, Jl. Subak Sari No.11 Canggu",Kabupaten Badung,Bali,-8.6636302,115.1455752
"Jl. Dewi Sri No.20, Legian, Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kabupaten Badung,Bali,-8.707284,115.1781224
"Jl. Dewi Sri No.20, Legian, Kuta, Kabupaten Badung, Bali 80361",Kabupaten Badung,Bali,-8.707284,115.1781224
"Jl. Dewi Sri No.20, Legian, Kuta, Kabupaten Badung, Bali 80361",Kabupaten Badung,Bali,-8.707284,115.1781224
"Jl. Dewi Sri No.20, Legian, Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kabupaten Badung,Bali,-8.707284,115.1781224
"Jl. Raya Legian No.500, Legian, Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kabupaten Badung,Bali,-8.697486999999999,115.1689831
"Jl. Raya Legian No.494 E, Legian, Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kabupaten Badung,Bali,-8.697482200000001,115.1690099
"Jl Raya Legian No. 494 E, Legian, Kuta, Badung, Bali",Kabupaten Badung,Bali,-8.697482200000001,115.1690099
"Jl. Subak Sari No.11, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Kabupaten Badung,Bali,-8.665811399999999,115.1475229
"Jl. Gatot Subroto Barat No.1, Kerobokan Kaja, Kec. Kuta Utara, Kabupaten Badung, Bali 80117",Kabupaten Badung,Bali,-8.6369676,115.1749181
"Jl. Gatot Subroto Barat No.1, Kerobokan Kaja,, Bali",Kota Denpasar,Bali,-8.6369676,115.1749181
