address,city,province,latitude,longitude
"Jl. Cirendeu Raya, Pertokoan Prima Indah No. 10, Banten",Kota Tangerang Selatan,Banten,-6.3135232,106.7704071
"Ruko Itc Bsd No.17, Jl. Pahlawan Seribu, Serpong 15322",Kota Tangerang Selatan,Banten,-6.2860989,106.6641322
"Ruko Itc Bsd No.17, Jl. Pahlawan Seribu, Serpong, Banten",Kota Tangerang Selatan,Banten,-6.2860989,106.6641322
"Ruko Itc Bsd No 17-18 Bsd Tangerang Selatan, Banten",Kota Tangerang Selatan,Banten,-6.2803685,106.6627643
"Jl. Kisamaun No..214, Rt.004/Rw.001, Babakan, Kec. Tangerang, Kota Tangerang, Banten 15118",Kota Tangerang,Banten,-6.1861476,106.633252
"Jl. Kisamaun No..214, RT.004/RW.001, Babakan, Kec. Tangerang, Kota Tangerang, Banten 15118, Indonesia",Kota Tangerang,Banten,-6.1861476,106.633252
"Jl. Kisamaun No..214, RT.004/RW.001, Babakan, Kec. Tangerang, Kota Tangerang, Banten 15118, Indonesia",Kota Tangerang,Banten,-6.1861476,106.633252
"Jl. Perintis Kemerdekaan No.36, RT.004/RW.001, Babakan, Kec. Tangerang, Kota Tangerang, Banten 15118, Indonesia",Kota Tangerang,Banten,-6.1862745,106.633006
"Jl. Ruko Pinangsia Blok L No. 7, Lippo Karawaci, Banten",Kota Tangerang,Banten,-6.184448000000001,106.6260661
"Ruko Pinangsia Blok A No. 39, Lippo Karawaci, Tangerang, Panunggangan Barat, Cibodas, Rt.001/Rw.009, Panunggangan Bar., Kec. Cibodas,",Kota Tangerang,Banten,-6.222694799999999,106.6189295
"Tangerang, Rt.005/Rw.005, Babakan, Tangerang, Tangerang City, Banten",Kota Tangerang,Banten,-6.193022699999999,106.6361303
"Jl. Jend. Sudirman, Ruko Tangerang City Blok A-8 Cikokol",Kota Tangerang,Banten,-6.1940275,106.6338892
"Jl. Daan Mogot, Wijaya Kusuma, Grogol Petamburan, Banten",Kota Tangerang,Banten,-6.1629702,106.7743588
"Ruko Duta Garden Blok A1 No 7A, Jl Husin Sastranegara",Kota Tangerang,Banten,-6.1445435,106.6804491
"Ruko Duta Garden, Jl. Husen Sastra Negara, Rt.001/Rw.008, Jurumudi Baru, Benda, Kota Tangerang, Banten",Kota Tangerang,Banten,-6.1284934,106.6858599
"Komp. Cbd Ciledug Ruko D2 No 6-7 Jl. Hos Cokroaminoto No. 93, Ciledug",Kota Tangerang,Banten,-6.2237678,106.7081688
"Komp. Cbd Ciledug Ruko D2 No 6-7 Jl. Hos Cokroaminoto No. 93, Ciledug",Kota Tangerang,Banten,-6.2237678,106.7081688
"Jl. Hos Cokroaminoto No. 93, Ciledug, Komp. Cbd Ciledug Ruko D2 No 6-7, Rt.001/Rw.001, Karang Tengah, Tangerang, Kota Tangerang, Banten",Kota Tangerang,Banten,-6.2218379,106.7097323
"Pertokoan Bumi Permata Indah Blok R 1 No. 23, Jl. Raden Saleh, Karang Tengah, Ciledug",Kota Tangerang,Banten,-6.201224,106.7190716
Jl. Raden Saleh Ruko Bumi Permata Indah Blok R1 No. 23 Karang Tengah - Tangerang,Kota Tangerang,Banten,-6.193991899999999,106.724419
"Jl. Poris Paradise Eksklusif No.C7/15, Rt.003/Rw.003, Poris Gaga, Kec. Batuceper, Kota Tangerang",Kota Tangerang,Banten,-6.172158899999999,106.6823439
"Jl. Poris Paradise Exclusive Blok C2 No. 1, Banten",Kota Tangerang,Banten,-6.4058172,106.0640179
"JL.KH.HASYIM ASHARI PORIS PLAWAD UTARA, Kota Tangerang, Banten",Kota Tangerang,Banten,-6.1884246,106.6636885
"Jl. Raya Cipondoh Kota Tangerang, Kota Tangerang, Banten",Kota Tangerang,Banten,-6.1840182,106.6485777
"Jl. Kh Hasyim Ashari No.27D & 27E, Cipondoh, Tangerang",Kota Tangerang,Banten,-6.1659147,106.8109012
"Jl. Kh Hasyim Ashari 26-32, Rt.003/Rw.001, Poris Plawad Utara, Kec. Cipondoh, Kota Tangerang, Banten 15141",Kota Tangerang,Banten,-6.1864801,106.6590619
