address,city,province,latitude,longitude
"Jl. S. Parman No.50, Padang Jati, Kec. Ratu Samban, Kota Bengkulu, Bengkulu 38222, Indonesia",Kota Bengkulu,Bengkulu,-3.8000543,102.270389
"Jl. S. Parman No.50, Padang Jati, Kec. Ratu Samban, Kota Bengkulu, Bengkulu 38222, Indonesia",Kota Bengkulu,Bengkulu,-3.8000543,102.270389
"Jl. S. Parman No.50, Padang Jati, Kec. Ratu Samban, Kota Bengkulu, Bengkulu 38222, Indonesia",Kota Bengkulu,Bengkulu,-3.8000543,102.270389
"Jl Jend Ahmad Yani No 60 Bengkulu 38115, Bengkulu",Kota Bengkulu,Bengkulu,-3.792845099999999,102.2607641
"Jl. Ahmad Yani No. 60, Bengkulu, Kota Bengkulu, Bengkulu",Kota Bengkulu,Bengkulu,-3.7915512,102.2546379
"Jl. Jend. Ahmad Yani No. 60, Jitra, Teluk Segara Bengkulu",Kota Bengkulu,Bengkulu,-3.7915512,102.2546379
"Jl. Merdeka No.223, Ps. Baru, Curup, Kabupaten Rejang Lebong, Bengkulu 39119, Indonesia",Kabupaten Rejang Lebong,Bengkulu,-3.4639723,102.5267218
"Jl. Merdeka No. 225, Curup Rejang Lebong, Bengkulu",Kabupaten Rejang Lebong,Bengkulu,-3.4639933,102.5275598
"Jl. Salak Raya No.102-103, Lkr. Tim., Kec. Singaran Pati, Kota Bengkulu, Bengkulu 38225, Indonesia",Kota Bengkulu,Bengkulu,-3.8186778,102.3040561
"Jl. Salak Raya No. 102 - 103, Bengkulu, Desa Dusun Besar, Gading Cempaka",Kota Bengkulu,Bengkulu,-3.8186778,102.3040561
"Jl. Salak Raya No. 102-103, Lingkar Timur Bengkulu",Kota Bengkulu,Bengkulu,-3.8186778,102.3040561
"Jl. Ir. Sutami, Kel. Purwodadi, Kec. Kota Arga Makmur",Kabupaten Bengkulu Utara,Bengkulu,-3.4317501,102.2047595
"Jl. Ir. Sutami, Kel. Purwodadi, Kota Argamakmur, Bengkulu",Kabupaten Bengkulu Utara,Bengkulu,-3.4317501,102.2047595
"Jl. Flamboyan, Ps. Ketahun, Ketahun, Kabupaten Bengkulu Utara, Bengkulu 38361",Kota Bengkulu,Bengkulu,-3.3602174,101.8478838
"Jl. Jend. Sudirman No. 231 Pasar Mulia, Pasar Manna",Kabupaten Bengkulu Selatan,Bengkulu,-4.464389,102.9116835
"Jl. Jend. Sudirman No. 231, Kel. Pasar Mulia, Kec. Pasar Manna",Kabupaten Bengkulu Selatan,Bengkulu,-4.464389,102.9116835
Jl. Lintas Barat Sumatera No. 678 Ujung Padang Mukomuko,Kabupaten Mukomuko,Bengkulu,-2.5644303,101.1087778
"Jl. Adam Malik No. 1 Gading Cempaka (Km. 8), Bengkulu",Kota Bengkulu,Bengkulu,-3.829228999999999,102.3058462
Spbu 24.382.04 Jl. Adam Malik No. 1 Lingkar Barat Bengkulu,Kota Bengkulu,Bengkulu,-3.8313302,102.3070708
"Jl. Depati Payung Negara No. 31, Kota Bengkulu, Bengkulu",Kota Bengkulu,Bengkulu,-3.8426111,102.3214361
"Jl. W.R. Supratman, Kandang Limun, Muara Bangka Hulu, Kota Bengkulu, Bengkulu 38371",Kota Bengkulu,Bengkulu,-3.7634543,102.2794927
Jl. Putri Gading Cempaka No. 4 Penurunan - Bengkulu,Kota Bengkulu,Bengkulu,-3.803237699999999,102.2650971
"Jl Jend Sudirman No. 202, Pintu Batu, Kota Bengkulu",Kota Bengkulu,Bengkulu,-3.792818199999999,102.2604864
"Jl. S. Parman No. 183, Kel. Kebun Kenanga, Kec. Ratu Agung, Bengkulu",Kota Bengkulu,Bengkulu,-3.8002337,102.2727258
Jl. Pariwisata No. 1 Kel. Penurunan Kec. Ratu Samban Kota Bengkulu,Kota Bengkulu,Bengkulu,-3.8148226,102.2705719
"Jl. Letjend. S. Parman No. 183 Kota Bengkulu, Bengkulu - 38223 Telepon : (0736) 20016",Kota Bengkulu,Bengkulu,-3.8002337,102.2727258
"Jl. Asahan, No. 6, Perumnas Ii, 38225, Padang Harapan, Gading Cemp., Kota Bengkulu, Bengkulu 38225",Kota Bengkulu,Bengkulu,-3.820983,102.2886619
"Jl. Pangeran Natadirja Km. 6.5 Bengkulu, Bengkulu",Kota Bengkulu,Bengkulu,-3.8179274,102.2938139
"Ps. Kepahiang, Kec. Kepahiang, Kabupaten Kepahiang, Bengkulu 39372",Kabupaten Kepahiang,Bengkulu,-3.6476882,102.5800069
"Jl. Raya Padang Kemiling - Slebar - Bengkulu, Bengkulu",Kota Bengkulu,Bengkulu,-3.8731881,102.3231741
"Jl. Mt Haryono No.19 B Bengkulu, Kota Bengkulu, Bengkulu",Kota Bengkulu,Bengkulu,-3.7913056,102.2631387
"Jl. Bhakti Husada No.88 Bengkulu, Kota Bengkulu, Bengkulu",Kota Bengkulu,Bengkulu,-3.8377614,102.3040018
"Jl. Re Martadinata Rt. 21.Rw. 2 Kel. Kandang, Bengkulu",Kota Bengkulu,Bengkulu,-3.8589537,102.3121953
"Jl. S. Parman No.61, RW.02, Padang Jati, Kec. Ratu Agung, Kota Bengkulu, Bengkulu 38222, Indonesia",Kota Bengkulu,Bengkulu,-3.8022703,102.2754276
"Jl. Kepahiang Timur, Kembang Seri, Talang Empat, Central Bengkulu Regency, Bengkulu 38385",Kota Bengkulu,Bengkulu,-3.7813555,102.3715753
Jl. Raya Bengkulu / Curup Kembang Seri Kabupaten Tengah Spbu Pt Prof Jamal Annur,Kabupaten Bengkulu Tengah,Bengkulu,-3.4740702,102.5211986
"Jl. Indragiri 3 Pd. Harapan, Padang Harapan, Gading Cemp., Kota Bengkulu, Bengkulu 38115",Kota Bengkulu,Bengkulu,-3.81883,102.2853592
"Jl. Raya Siteba No.59 E Kel, Surau Gadang, Kec. Nanggalo, Kota Padang, Sumatera Barat 25173, Indonesia",Kota Bengkulu,Bengkulu,-0.8984996000000001,100.3735797
"Jl. K.H. Abidin Ii Pasar Minggu Bengkulu, Bengkulu",Kota Bengkulu,Bengkulu,-3.793524699999999,102.2661827
"Jl. Citandui, RT.11/RW.011, Muara Dua, Kp. Melayu, Kota Bengkulu, Bengkulu 38215",Kota Bengkulu,Bengkulu,-3.8475339,102.3054626
"Jl. Salak Raya No. 102-103, Lingkar Timur Bengkulu",Kota Bengkulu,Bengkulu,-3.8186778,102.3040561
