address,city,province,latitude,longitude
"Jl. Jend. Sudirman No.24-36, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia",Kota Yogyakarta,DI Yogyakarta,-7.783058099999999,110.3695546
"Jl. Jend. Sudirman No.26, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia",Kota Yogyakarta,DI Yogyakarta,-7.7833828,110.369188
Jl. Jenderal Sudirman No 26 Gowongan Kec. Jetis Kota Yogyakarta D I Y 55233,Kota Yogyakarta,DI Yogyakarta,-7.7833828,110.369188
"Jl. Panembahan Senopati No.1-3, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta",Kota Yogyakarta,DI Yogyakarta,-7.8011529,110.3676129
"Jl. K.H.  Ahmad Dahlan No. 73, Notoprajan, Ngampilan, Kota Yogyakarta",Kota Yogyakarta,DI Yogyakarta,-7.801653,110.360321
"Jl. K.H.  Ahmad Dahlan No. 73, Notoprajan, Ngampilan, Kota Yogyakarta",Kota Yogyakarta,DI Yogyakarta,-7.801653,110.360321
"Jl. Seturan Raya No.3, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",Kabupaten Sleman,DI Yogyakarta,-7.772246000000001,110.4096405
Jl. Raya Seturan Kampus Stie Ykpn Caturtunggal Depok Sleman Yogyakarta,Kabupaten Sleman,DI Yogyakarta,-7.769025800000001,110.410216
"Jl. Seturan Raya No.3, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",Kabupaten Sleman,DI Yogyakarta,-7.772246000000001,110.4096405
"Jl. Jend. Sudirman No.81 Bantul, Bantul, Daerah Istimewa Yogyakarta",Kabupaten Bantul,DI Yogyakarta,-7.886951499999999,110.3295436
