address,city,province,latitude,longitude
"Jalan Lapangan Stasiun No.2, Rt.7/Rw.7, Pinangsia, Tamansari, Rt.4/Rw.6, Pinangsia, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110",Kota Jakarta Barat,DKI Jakarta,-6.2087634,106.845599
"Jalan Lapangan Stasiun No.2, Rt.7/Rw.7, Pinangsia, Tamansari, Rt.4/Rw.6, Pinangsia, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110",Kota Jakarta Barat,DKI Jakarta,-6.2087634,106.845599
"Jl. Pintu Kecil Iii No. 54, Pasar Pagi, Rt.1/Rw.2, Roa Malaka, Jakarta Barat, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11230",Kota Jakarta Barat,DKI Jakarta,-6.137943,106.809984
"Jl. Ps. Pagi Raya No.78, Rt.1/Rw.2, Roa Malaka, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11230",Kota Jakarta Barat,DKI Jakarta,-6.138245899999999,106.8094653
"Jl. K.H. Moch. Mansyur No. 222, Rt.10/Rw.5, Tanah Sereal, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11210",Kota Jakarta Barat,DKI Jakarta,-6.1500545,106.8071607
"Jl. K.H. Moch. Mansyur No. 222, Rt.10/Rw.5, Tanah Sereal, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11210",Kota Jakarta Barat,DKI Jakarta,-6.1500545,106.8071607
"Jl. K.H. Moch. Mansyur No. 222, Rt.10/Rw.5, Tanah Sereal, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11210",Kota Jakarta Barat,DKI Jakarta,-6.1500545,106.8071607
"Jl. Pancoran No. 3 Glodok, Glodok, Tamansari, Jakarta Barat, Daerah Khusus Ibukota Jakarta 11120",Kota Jakarta Barat,DKI Jakarta,-6.141919,106.8134029
"Jl. Pancoran No. 3 Glodok, Glodok, Tamansari, Jakarta Barat, Daerah Khusus Ibukota Jakarta 11120",Kota Jakarta Barat,DKI Jakarta,-6.141919,106.8134029
"Jl. Pejagalan Raya No.85 F, Rt.1/Rw.5, Pekojan, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11240",Kota Jakarta Barat,DKI Jakarta,-6.138125899999999,106.807168
"Jl. Hayam Wuruk No.50, Rt.1/Rw.6, Mangga Besar, Jakarta Barat, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11180",Kota Jakarta Barat,DKI Jakarta,-6.153186799999999,106.817771
"Jl. Hayam Wuruk No.50, Rt.1/Rw.6, Mangga Besar, Jakarta Barat, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11180",Kota Jakarta Barat,DKI Jakarta,-6.153186799999999,106.817771
"Jl. Hayam Wuruk No.50, Rt.1/Rw.6, Mangga Besar, Jakarta Barat, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11180",Kota Jakarta Barat,DKI Jakarta,-6.153186799999999,106.817771
