address,city,province,latitude,longitude
"Jl. Trans Sulawesi, Buntulia Jaya, Duhiadaa, Pohuwato, Gorontalo",Kabupaten Pohuwato,Gorontalo,0.4770773,121.9325526
"Jl. Jend. Sudirman No. 35, Hepuhulawa, Limboto, Kabupaten Gorontalo",Kabupaten Gorontalo,Gorontalo,0.633859,122.9860159
"Jl. Jend. Sudirman No. 35, Hepuhulawa, Limboto, Kabupaten Gorontalo",Kabupaten Gorontalo,Gorontalo,0.633859,122.9860159
"Jalan, Pontolo, Kwandang, Kabupaten Gorontalo Utara",Kabupaten Gorontalo Utara,Gorontalo,0.7729045,122.8479358
"Jl. H. Nani Wartabone No. 28, Ipilo, Gorontalo, Gorontalo",Kota Gorontalo,Gorontalo,0.5345561,123.0605244
"Jl. H. Nani Wartabone No. 28, Ipilo, Gorontalo, Gorontalo",Kota Gorontalo,Gorontalo,0.5345561,123.0605244
"Jl. H. Nani Wartabone No. 28, Ipilo, Gorontalo, Gorontalo",Kota Gorontalo,Gorontalo,0.5345561,123.0605244
"Jl. H. Nani Wartabone No. 28, Ipilo, Gorontalo, Gorontalo",Kota Gorontalo,Gorontalo,0.5345561,123.0605244
"Jl. H. Nani Wartabone No. 28, Ipilo, Gorontalo, Gorontalo",Kota Gorontalo,Gorontalo,0.5345561,123.0605244
"Jl. H. Nani Wartabone No. 28, Ipilo, Gorontalo, Gorontalo",Kota Gorontalo,Gorontalo,0.5345561,123.0605244
"Jl. Tinaloga, Dulomo Sel., Kota Utara, Kota Gorontalo",Kota Gorontalo,Gorontalo,0.569361,123.090334
"Jl. Jend. Sudirman No.22, Limba U 1, Kota Gorontalo, Gorontalo",Kota Gorontalo,Gorontalo,0.5528434,123.0611271
"Kabupaten Bone Bolango, Gorontalo 96582, Indonesia",Kota Gorontalo,Gorontalo,0.7104045,123.1463992
"Jl. Nani Wartabone, Heledulaa Selatan, Gorontalo, Gorontalo",Kota Gorontalo,Gorontalo,0.5393726,123.060974
"Djalaludin Airport, Gorontalo, Isimu Sel, Tolotio, Tibawa, Kabupaten Gor",Kabupaten Gorontalo,Gorontalo,0.6372161,122.8484646
"Jl. Rambutan, Huangobotu, Dungingi, Kota Gorontalo, Gorontalo",Kota Gorontalo,Gorontalo,0.5628013,123.039471
"Jl. Ahmad A. Wahab No.7, Luhu, Telaga, Kota Gorontalo, Gorontalo",Kota Gorontalo,Gorontalo,0.5785357,123.0444176
"Jl. Trans Sulawesi No. 29, Marisa Utara, Marisa, Pohuwato",Kabupaten Pohuwato,Gorontalo,0.4674008,121.9367356
"Jl. Jend. Sudirman, Wumialo, Gorontalo, Kota Gorontalo, Gorontalo",Kota Gorontalo,Gorontalo,0.5535198,123.0567064
"Lakeya, Tolangohula, Kabupaten Gorontalo, Gorontalo 96261, Indonesi",Kabupaten Gorontalo,Gorontalo,0.7193581,122.531617
"Jl. Kalimantan No.94, Dulalowo Timur, Kota Gorontalo",Kota Gorontalo,Gorontalo,0.5599961,123.0568059
"Jl. Laksamana Martadinata, Leato, Kota Gorontalo, Gorontalo",Kota Gorontalo,Gorontalo,0.5030329,123.0658046
"Jl. Kh. Agus Salim No. 7, Gorontalo, Kota Gorontalo, Gorontalo",Kota Gorontalo,Gorontalo,0.5437371,123.0561157
