address,city,province,latitude,longitude
"Jl. Gatot Subroto No. 60A, Jambi, Kota Jambi, Jambi",Kota Jambi,Jambi,-1.6001119,103.6163642
"Jl. Gatot Subroto No 60 A Jambi, Kota Jambi, Jambi",Kota Jambi,Jambi,-1.6001119,103.6163642
"Jl. Gatot Subroto No 60 A Jambi, Kota Jambi, Jambi",Kota Jambi,Jambi,-1.6001119,103.6163642
"Jl Jend Gatot Subroto No.60 A Jambi, Kota Jambi, Jambi",Kota Jambi,Jambi,-1.6001119,103.6163642
"Jl Jend Gatot Subroto No.60 A Jambi, Kota Jambi, Jambi",Kota Jambi,Jambi,-1.6001119,103.6163642
"Jl. Jend. Gatot Subroto No. 60A, Cempaka Putih, Jambi",Kota Jambi,Jambi,-1.6001119,103.6163642
"Jl Lintas Timur Km35, Desa Sengeti,Muaro Jambi, Jambi",Kabupaten Muaro Jambi,Jambi,-1.4798392,103.5053879
"Jalan Lintas Timur Km. 35, Desa Sengeti, Sekernan, Sengeti, Sekernan",Kabupaten Muaro Jambi,Jambi,-1.4798392,103.5053879
"Jl. Gajah Mada No.9 Muara Bulian, Kabupaten Batang Hari, Jambi",Kabupaten Batang Hari,Jambi,-1.7117535,103.2553703
"Jl Gajah Mada No.9 Muara Bulian, Kabupaten Batang Hari, Jambi",Kabupaten Batang Hari,Jambi,-1.7117535,103.2553703
"Jl. Kapten Pattimura No. 21 - 22, Kota Jambi, Jambi",Kota Jambi,Jambi,-1.6165948,103.5652439
"Jl. Kapten Pattimura No.13, Rw. Sari, Kec. Kota Baru, Kota Jambi, Jambi 36361, Indonesia",Kota Jambi,Jambi,-1.6199447,103.5804918
"Jl Kapt.Pattimura No.21-22 Nusa Indah Jambi, Jambi",Kota Jambi,Jambi,-1.6201218,103.5823964
"Jl. Orang Kayo Pingai, No. 11-12, Kota Jambi, Jambi",Kota Jambi,Jambi,-1.6024267,103.6380782
"Jl. Orang Kayo Pingai, No. 11-12 Talang Banjar, Jambi",Kota Jambi,Jambi,-1.6024267,103.6380782
"Jl. Orang Kayo Pingai, No. 11-12 Talang Banjar, Jambi",Kota Jambi,Jambi,-1.6024267,103.6380782
