address,city,province,latitude,longitude
"Jl. Sultan Hasanudin No. 1 Tambun, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat,-6.264425699999999,107.069315
"Jl. Raya Jatibening, Kota Bekasi, Kota Bekasi, Jawa Barat",Kota Bekasi,Jawa Barat,-6.2663321,106.9508365
"Jl. Asia Afrika No.107, Kb. Pisang, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40112",Kota Bandung,Jawa Barat,-6.9214613,107.6134289
"Jl. Asia Afrika No.107, Kb. Pisang, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40112",Kota Bandung,Jawa Barat,-6.9214613,107.6134289
"Jl. Asia Afrika No.107, Kb. Pisang, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40112",Kota Bandung,Jawa Barat,-6.9214613,107.6134289
"Jl. Asia Afrika No.53, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40251",Kota Bandung,Jawa Barat,-6.9209,107.6068962
"Jl Asia Afrika No 61 Kec Sumur Bandung, Jawa Barat",Kabupaten Bandung,Jawa Barat,-6.920997100000001,107.607685
"Jl. Moch. Toha No.189, Cigereleng, Kec. Regol, Kota Bandung, Jawa Barat 40253",Kota Bandung,Jawa Barat,-6.944457,107.608415
"Jl. Moh. Toha No.189, Cigereleng, Kec. Regol, Kota Bandung, Jawa Barat 40253",Kota Bandung,Jawa Barat,-6.944457,107.608415
"Komp. Kurdi, Jl. H. Kurdi 1, Karasak, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40243, Indonesia",Kabupaten Bandung,Jawa Barat,-6.943774599999999,107.604042
"Jl. Soreang-Banjaran No.457, Soreang, Kec. Soreang",Kabupaten Bandung,Jawa Barat,-7.0334596,107.5438397
"Jl. Soreang-Banjaran No.457, Soreang, Kec. Soreang, Bandung, Jawa Barat 40377",Kabupaten Bandung,Jawa Barat,-7.0334596,107.5438397
"Jl. Soreang-Banjaran No.457, Soreang, Kec. Soreang, Bandung, Jawa Barat 40377",Kabupaten Bandung,Jawa Barat,-7.0334596,107.5438397
"Jl. Soreang-Banjaran No.457, Soreang, Kec. Soreang",Kabupaten Bandung,Jawa Barat,-7.0334596,107.5438397
"Jl. Bkr No. 124 A, Cigareleng, Regol, Ancol, Regol, Cigereleng, Kec. Regol",Kota Bandung,Jawa Barat,-6.937595399999999,107.6134911
"Komplek Taman Kopo Indah Ii Ruko Ib No. 19, Desa Rahayu, Margaasih, Rahayu, Kec. Margaasih",Kota Bandung,Jawa Barat,-6.967707099999999,107.5530314
"Komplek Taman Kopo Indah Ii Ruko Ib No. 19, Desa Rahayu, Margaasih, Rahayu, Kec. Margaasih",Kota Bandung,Jawa Barat,-6.967707099999999,107.5530314
"Jl Taman Kopo Indah 2 No.6 Rahayu Kec Margaasih, Jawa Barat",Kabupaten Bandung,Jawa Barat,-6.9641367,107.5637714
"Metro Indah Mall, Jl. Soekarno Hatta, Sekejati, Kec. Buahbatu",Kota Bandung,Jawa Barat,-6.9421418,107.6587375
"Metro Indah Mall, Jl. Soekarno Hatta, Sekejati, Kec. Buahbatu",Kota Bandung,Jawa Barat,-6.9421418,107.6587375
"Jl. Raya Bojongsoang No.108B, Bojongsoang, Kec. Bojongsoang",Kota Bandung,Jawa Barat,-6.978591199999999,107.6348267
"Jl. Raya Bojongsoang No.108B, Bojongsoang, Kec. Bojongsoang",Kabupaten Bandung,Jawa Barat,-6.978591199999999,107.6348267
"Jl. Raya Bojongsoang No.108B, Bojongsoang, Kec. Bojongsoang",Kabupaten Bandung,Jawa Barat,-6.978591199999999,107.6348267
"Jl. Jamika No.33 C, Jamika, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40231",Kota Bandung,Jawa Barat,-6.9205963,107.5864875
"Jl. Jamika No.33 C, Jamika, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40231, Indonesia",Kota Bandung,Jawa Barat,-6.9205963,107.5864875
"Jl. Jamika No.33 C, Jamika, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40231",Kabupaten Bandung,Jawa Barat,-6.9205963,107.5864875
"Jl. Jamika No.33 C, Jamika, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40231",Kabupaten Bandung,Jawa Barat,-6.9205963,107.5864875
"Jl. Soekarno Hatta No. 132B, Babakan, Babakan Ciparay, Babakan, Kec. Babakan Ciparay, Kota Bandung, Jawa Barat 40222",Kota Bandung,Jawa Barat,-6.933082499999999,107.5763673
"Jl. Soekarno Hatta No. 132B, Babakan, Babakan Ciparay, Babakan, Kec. Babakan Ciparay",Kota Bandung,Jawa Barat,-6.933082499999999,107.5763673
"Jl. Burangrang No. No.35 D, Malabar, Kec. Lengkong, Kota Bandung, Jawa Barat 40262",Kota Bandung,Jawa Barat,-6.9269546,107.6196622
"Jl. Burangrang No. No.35 D, Malabar, Kec. Lengkong, Kota Bandung, Jawa Barat 40262",Kabupaten Bandung,Jawa Barat,-6.9269546,107.6196622
"Jln. Asia Afrika 118-120, Kebon Pisang, Paledang, Lengkong, Bandung City, West Java 40261",Kota Bandung,Jawa Barat,-6.9220232,107.6125545
"Jln. Asia Afrika 118-120, Kebon Pisang, Paledang, Lengkong, Bandung City, West Java 40261",Kota Bandung,Jawa Barat,-6.9220232,107.6125545
