address,city,province,latitude,longitude
"Jl. Pemuda No. 73, Pandansari, Semarang Tengah, 50139",Kota Semarang,Jawa Tengah,-6.9753911,110.4175972
"Jl. Pemuda No. 69, Pandansari, Semarang Tengah, 50139",Kota Semarang,Jawa Tengah,-6.975086,110.4181579
"Jl. Setiabudi G.62 E&F, Sumurboto, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50263",Kota Semarang,Jawa Tengah,-6.8623557,107.5962293
"Jl. Setiabudi G.62 E&F, Sumurboto, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50263",Kota Semarang,Jawa Tengah,-6.8623557,107.5962293
"Jl. Sultan Fatah No. 4B, Demak, Jawa Tengah, 59511",Kabupaten Demak,Jawa Tengah,-6.8911127,110.6408652
"Jl. Sultan Fatah No. 4B, Demak, Jawa Tengah, 59511",Kabupaten Demak,Jawa Tengah,-6.8911127,110.6408652
"Jl. Sultan Fatah No. 4B, Demak, Jawa Tengah, 59511",Kabupaten Demak,Jawa Tengah,-6.8911127,110.6408652
"Jl. Raya Kaligawe Km. 4, No. 11 B, Muktiharjo Lor, Genuk, 50111",Kota Semarang,Jawa Tengah,-6.9554731,110.4614703
"Jl. Kaligawe Km. 4, No. 11 B, Muktiharjo Lor, Genuk, Semarang, Jawa Tengah 50164",Kota Semarang,Jawa Tengah,-6.9554731,110.4614703
"Jl. Arteri Soekarno Hatta No. 16 Cd, Pedurungan, Tlogosari Kulon, Kec. Pedurungan, Kota Semarang, Jawa Tengah 50196",Kota Semarang,Jawa Tengah,-6.9887196,110.4565127
"Jl. Arteri Soekarno Hatta No. 16 Cd, Pedurungan, Tlogosari Kulon, Kec. Pedurungan, Kota Semarang, Jawa Tengah 50196",Kota Semarang,Jawa Tengah,-6.9887196,110.4565127
"Jl. Majapahit No.217, Gemah, Kec. Pedurungan, Kota Semarang, Jawa Tengah 50192",Kota Semarang,Jawa Tengah,-7.005258599999999,110.4527654
"Jl. Majapahit No.226A, Gemah, Kec. Pedurungan, Kota Semarang, Jawa Tengah 50248",Kota Semarang,Jawa Tengah,-7.004593799999999,110.4531609
"Jl. Pandanaran No.104, Pekunden, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50134",Kota Semarang,Jawa Tengah,-6.988127899999999,110.4196971
"Jl. Pandanaran No.104, Pekunden, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50134",Kota Semarang,Jawa Tengah,-6.988127899999999,110.4196971
"Jl. Empu Tantular No.29, Old Town, Bandarharjo, Kec. Semarang Utara, Kota Semarang, Jawa Tengah 50174",Kota Semarang,Jawa Tengah,-6.967408400000001,110.4250869
"Jl. Empu Tantular No.29, Old Town, Bandarharjo, Kec. Semarang Utara, Kota Semarang, Jawa Tengah 50174",Kota Semarang,Jawa Tengah,-6.967408400000001,110.4250869
"Jl. Empu Tantular No.29, Old Town, Bandarharjo, Kec. Semarang Utara, Kota Semarang, Jawa Tengah 50174",Kota Semarang,Jawa Tengah,-6.967408400000001,110.4250869
"Gg. Pinggir No.13 A, Kranggan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50139",Kota Semarang,Jawa Tengah,-6.9752582,110.4281059
"Gg. Pinggir No.13 A, Kranggan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50139",Kota Semarang,Jawa Tengah,-6.9752582,110.4281059
