address,city,province,latitude,longitude
"Jl. Veteran No.42-44, Krembangan Sel., Kec. Krembangan",Kota Surabaya,Jawa Timur,-7.2395979,112.7377095
"Jl. Veteran No.42-44, Krembangan Sel., Kec. Krembangan, Kota SBY, Jawa Timur 60175, Indonesia",Kota Surabaya,Jawa Timur,-7.2395979,112.7377095
"Jl. Perak Timur No.512, Perak Utara, Kec. Pabean Cantian",Kota Surabaya,Jawa Timur,-7.202317000000001,112.7336516
"Jl. Perak Timur No. 512 Blok H3-H4, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur,-7.202317000000001,112.7336516
"Jembatan Merah Plaza , L2, B Area, a-54 , JL. Taman Jayengrono 2-4 , Krembangan Selatan, Krembangan , 60175 Surabaya , Jawa Timur, South Kre",Kota Surabaya,Jawa Timur,-7.234473400000001,112.7379629
"Jl. Jembatan Merah No. 25-27, Krembangan Sel, Jawa Timur",Kota Surabaya,Jawa Timur,-7.240541899999999,112.7374371
"Jl. Jembatan Merah No. 25-27, Krembangan Sel., Kec. Krembangan",Kota Surabaya,Jawa Timur,-7.240541899999999,112.7374371
"Jl. Dr. Ir. H. Soekarno No.36, Kedung Baruk, Kec. Rungkut, Kota SBY, Jawa Timur 60298, Indonesia",Kota Surabaya,Jawa Timur,-7.315107999999999,112.7805
"Jl. Dr Ir Haji Soekarno No. 386, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur,-7.3194126,112.780578
"Jl. Kh Mas Mansyur No. 128- 140 Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur,-7.231483799999999,112.7410243
"Jl. Kh Mas Mansyur No.128-140, Nyamplungan, Kec. Pabean Cantian",Kota Surabaya,Jawa Timur,-7.231483799999999,112.7410243
"Jl. Stasiun Kota No.60 C-D Kav. No.1 Dan 2, Jawa Timur",Kota Surabaya,Jawa Timur,-7.2418608,112.7401882
"Itc Surabaya Mega Grosir, Jl. Gembong No 20-30 Surabaya",Kota Surabaya,Jawa Timur,-7.241554,112.7460695
"Itc Mega Grosir Lantai G Jl. Gembong No. 20 - 30 , Surabaya",Kota Surabaya,Jawa Timur,-7.241425,112.746938
"Jl. Klampis Jaya No.50, Klampis Ngasem, Kec. Sukolilo",Kota Surabaya,Jawa Timur,-7.285196000000001,112.776522
"Jl. Klampis Jaya No.50, Klampis Ngasem, Kec. Sukolilo",Kota Surabaya,Jawa Timur,-7.285196000000001,112.776522
"Pakuwon Town Square Blok A.2 No. 1 , Pakuwon City, Kejawan Putih",Kota Surabaya,Jawa Timur,-7.276981800000001,112.8046661
"Jl. Komp. Pakuwon City 38, Kejawaan Putih Tambak, Kec. Mulyorejo",Kota Surabaya,Jawa Timur,-7.276342499999999,112.8051727
"Jl. Dr. Ir. H. Soekarno No.18, Gebang Putih, Kec. Sukolilo, Kota Sby, Jawa Timur 60117",Kota Surabaya,Jawa Timur,-7.2861872,112.7805891
Jl. Kertajaya Indah Timur No. 18 Ged. Esa Sampoerna Lt G,Kota Surabaya,Jawa Timur,-7.2862122,112.7805299
"Jl. Dr. Ir. H. Soekarno No.18, Gebang Putih, Kec. Sukolilo, Kota Sby",Kota Surabaya,Jawa Timur,-7.2861872,112.7805891
"Jl. Raya Mulyosari 363-343, Dukuh Sutorejo, Kec. Mulyorejo",Kota Surabaya,Jawa Timur,-7.2713532,112.7968813
"Jl. Raya Mulyosari No.360d, Dukuh Sutorejo, Kec. Mulyorejo, Kota SBY, Jawa Timur 60113, Indonesia",Kota Surabaya,Jawa Timur,-7.270702500000001,112.7965437
"Jl. Jokotole No. 115 Barurambat Timur, Kabupaten Pamekasan, Jawa Timur",Kabupaten Pamekasan,Jawa Timur,-7.1613634,113.4907436
"Jl. Jokotole No. 115 Barurambat Timur, Kabupaten Pamekasan, Jawa Timur",Kabupaten Pamekasan,Jawa Timur,-7.1613634,113.4907436
"Jl. Jokotole No.45, Murleke, Barurambat Tim., Pademawu, Kabupaten Pamekasan, Jawa Timur 69321, Indonesia",Kabupaten Pamekasan,Jawa Timur,-7.1613541,113.490562
"Ruko Kenjeran Indah, Jl. Babatan Pantai No. 2 Ab, Jawa Timur",Kota Surabaya,Jawa Timur,-7.25282,112.793372
"Ruko Kenjeran Indah No.2Ab, Jl. Babatan Pantai, Manyar Sabrangan",Kota Surabaya,Jawa Timur,-7.2528698,112.7925951
"Jl. Trunojoyo No.214, Labangseng, Kolor, Kotasumenep, Kabupaten Sumenep, Jawa Timur 69417, Indonesia",Kabupaten Sumenep,Jawa Timur,-7.0177117,113.8575589
"Jl. Trunojoyo No.214, Labangseng, Kolor, Kotasumenep, Kabupaten Sumenep, Jawa Timur 69417, Indonesia",Kabupaten Sumenep,Jawa Timur,-7.0177117,113.8575589
"Jl. Trunojoyo No.214, Labangseng, Kolor, Kotasumenep, Kabupaten Sumenep, Jawa Timur 69417, Indonesia",Kabupaten Sumenep,Jawa Timur,-7.0177117,113.8575589
"Jl. Trunojoyo No.214, Labangseng, Kolor, Kotasumenep, Kabupaten Sumenep, Jawa Timur 69417, Indonesia",Kabupaten Sumenep,Jawa Timur,-7.0177117,113.8575589
