address,city,province,latitude,longitude
"Jl. Diponegoro No.17, Kel.Darat Sekip, Kec. Pontianak Kota, Kota Pontianak, Kalimantan Barat 78243",Kota Pontianak,Kalimantan Barat,-0.0284598,109.3415031
"Jl. H.Agus Salim No.17, Benua Melayu Darat, Kec. Pontianak Sel., Kota Pontianak, Kalimantan Barat 78243, Indonesia",Kota Pontianak,Kalimantan Barat,-0.0289355,109.340888
"Jl. H.Agus Salim No.17, Benua Melayu Darat, Kec. Pontianak Sel., Kota Pontianak, Kalimantan Barat 78243, Indonesia",Kota Pontianak,Kalimantan Barat,-0.0289355,109.340888
"Jl. H.Agus Salim No.17, Benua Melayu Darat, Kec. Pontianak Sel., Kota Pontianak, Kalimantan Barat 78243, Indonesia",Kota Pontianak,Kalimantan Barat,-0.0289355,109.340888
"Kapuas Kanan Hulu, Kec. Sintang, Kabupaten Sintang, Kalimantan Barat 78616, Indonesia",Kabupaten Sintang,Kalimantan Barat,0.0564545,111.469323
"Jl. MT. Haryono No.58b, RW.1, Kapuas Kanan Hulu, Kec. Sintang, Kabupaten Sintang, Kalimantan Barat 78613, Indonesia",Kabupaten Sanggau,Kalimantan Barat,0.0741319,111.4837665
"Jl. MT. Haryono No.58b, RW.1, Kapuas Kanan Hulu, Kec. Sintang, Kabupaten Sintang, Kalimantan Barat 78613, Indonesia",Kabupaten Sintang,Kalimantan Barat,0.0741319,111.4837665
"Jl. Jenderal Ahmad Yani - 40 No.39, Ilir Kota, Kec. Kapuas, Kabupaten Sanggau, Kalimantan Barat 78516, Indonesia",Kabupaten Sanggau,Kalimantan Barat,0.121823,110.599421
"Jl. A Yani No. 5-6 Sanggau Kalimanatan Barat, Kalimantan Barat",Kabupaten Sanggau,Kalimantan Barat,-3.3385387,114.6177405
"Jl. A Yani No. 5-6 Sanggau Kalimanatan Barat, Kalimantan Barat",Kabupaten Sanggau,Kalimantan Barat,-3.3385387,114.6177405
"Jl. Khatulistiwa No. 281, Siantan, Siantan Hilir, Kalimantan Barat",Kota Pontianak,Kalimantan Barat,-0.0005907,109.3242061
