address,city,province,latitude,longitude
"Jl. Wahid Hasyim I, Sempaja Sel., Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75243, Indonesia",Kabupaten Kotawaringin Barat,Kalimantan Tengah,-0.4566738,117.1519422
"Jl. Kesuma Bangsa No.76, Bugis, Kec. Samarinda Kota, Kota Samarinda, Kalimantan Timur 75121, Indonesia",Kota Palangka Raya,Kalimantan Tengah,-0.4899268000000001,117.1465171
"Jl. Pahlawan No.1, Dadi Mulya, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75123, Indonesia",Kabupaten Kotawaringin Timur,Kalimantan Tengah,-0.4892649999999999,117.145823
"Jl. Soekarno Hatta RT.29 KM.5,5 No.1, Batu Ampar, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76136, Indonesia",Kabupaten Seruyan,Kalimantan Tengah,-1.2056673,116.8541269
"Jl. Jend. Ahmad Yani No. 70, Palangkaraya, Kalimantan Tengah",Kota Palangka Raya,Kalimantan Tengah,-2.1869651,113.8963191
"Jl. Ahmad Yani No.46, Pahandut, Kec. Pahandut, Kota Palangka Raya, Kalimantan Tengah 74874, Indonesia",Kota Palangka Raya,Kalimantan Tengah,-2.2095612,113.9350309
"Jl Tjilik Riwut Km 1 No. 19-20 Palangkaraya, Kalimantan Tengah",Kota Palangka Raya,Kalimantan Tengah,-2.1987914,113.9070653
"Jl. Ahmad Yani No.46, Pahandut, Kec. Pahandut, Kota Palangka Raya, Kalimantan Tengah 74874, Indonesia",Kota Palangka Raya,Kalimantan Tengah,-2.2095612,113.9350309
Jl. Pahlawan No. 5 Barito Selatan Kalimantan Tengah,Kabupaten Barito Selatan,Kalimantan Tengah,-1.7161031,114.8386081
"Jl. Panglima Batur No.4 , Buntok, Kabupaten Barito Selatan, Kalimantan Tengah",Kabupaten Barito Selatan,Kalimantan Tengah,-1.7216893,114.8343094
"Jl. MT. Haryono No.119, Kuala Pembuang Satu, Seruyan, Kabupaten Seruyan, Kalimantan Tengah 74212",Kabupaten Seruyan,Kalimantan Tengah,-3.3800893,112.5495469
"Jl. MT. Haryono No.119, Kuala Pembuang Satu, Seruyan, Kabupaten Seruyan, Kalimantan Tengah 74212",Kabupaten Seruyan,Kalimantan Tengah,-3.3800893,112.5495469
"Jl. M.T. Haryono No. 81 A, Mentawa Baru Hulu, Mentawa Baru Ketapang, Mentawa Baru Ketapang 74322",Kabupaten Kotawaringin Timur,Kalimantan Tengah,-2.5412174,112.9454716
"Jl. M.T. Haryono No. 81 A, Mentawa Baru Hulu, Mentawa Baru Ketapang, Mentawa Baru Ketapang 74322",Kabupaten Kotawaringin Timur,Kalimantan Tengah,-2.5412174,112.9454716
"Jl. M.T. Haryono No. 81 A, Mentawa Baru Hulu, Mentawa Baru Ketapang, Mentawa Baru Ketapang 74322",Kabupaten Kotawaringin Timur,Kalimantan Tengah,-2.5412174,112.9454716
"Jl. Jend. Sudirman No.32, Selat Hilir, Kec. Selat, Kabupaten Kapuas, Kalimantan Tengah 73513",Kabupaten Kapuas,Kalimantan Tengah,-3.0227966,114.3921736
"Jl. Jend. Sudirman No.32, Selat Hilir, Kec. Selat, Kabupaten Kapuas, Kalimantan Tengah 73513",Kabupaten Kapuas,Kalimantan Tengah,-3.0227966,114.3921736
"Jl. Jend. Sudirman No.32, Selat Hilir, Kec. Selat, Kabupaten Kapuas, Kalimantan Tengah 73513",Kabupaten Kapuas,Kalimantan Tengah,-3.0227966,114.3921736
"Jl. Jend Sudirman No 32A Kuala Kapuas, Kabupaten Kapuas, Kalimantan Tengah",Kabupaten Kapuas,Kalimantan Tengah,-3.0227966,114.3921736
"Jl. Ahmad Yani No. 18 Pangkalan Bun, Kabupaten Kotawaringin Barat, Kalimantan Tengah",Kabupaten Kotawaringin Barat,Kalimantan Tengah,0.5108309999999999,117.5360171
"Jl. Udan Said No. 3 Pangkalan Bun, Kabupaten Kotawaringin Barat, Kalimantan Tengah",Kabupaten Kotawaringin Barat,Kalimantan Tengah,-2.671419,111.6381001
"Jalan RTA Milono KM 3,5, Langkai, Pahandut, Menteng, Palangka Raya, Kota Palangka Raya, Kalimantan Tengah 74874, Indonesia",Kabupaten Kotawaringin Barat,Kalimantan Tengah,-2.2356344,113.9201532
"Jl. Tjilik Riwut No. 58 Kasongan, Sawahan, Mentawa Baru/Ketapan, Kabupaten Kotawaringin Timur, Kalimantan Tengah 74412, Indonesia",Kota Palangka Raya,Kalimantan Tengah,-2.5248443,112.9430146
"Jl. Trans Kalimantan Sampit Pangkalan Bun, Kalimantan Tengah",Kabupaten Kotawaringin Barat,Kalimantan Tengah,-2.688962000000001,111.622398
"Jl. A. Yani Km 65, Ds Karang Mulya, Kec Pangkalan Banteng",Kabupaten Kotawaringin Barat,Kalimantan Tengah,-2.4682944,111.9157847
"Jl. Ahmad Yani No. 21, Muara Teweh, Kabupaten Barito Utara, Kalimantan Tengah",Kabupaten Barito Utara,Kalimantan Tengah,-0.9475233,114.9003534
"Jl. Jend. Ahmad Yani No. 21, Kab. Barito Utara, Kalimantan Tengah",Kabupaten Barito Utara,Kalimantan Tengah,-3.3212018,114.5960437
"Jl. Ahmad Yani No. 43-45, Melayu, Kabupaten Barito Utara, Kalimantan Tengah",Kabupaten Barito Utara,Kalimantan Tengah,-0.9475443999999998,114.9003422
"Jl. Temanggung Surapati Muara Teweh., Kabupaten Barito Utara, Kalimantan Tengah",Kabupaten Barito Utara,Kalimantan Tengah,-0.9349424999999999,114.8985047
"Jl. Melati, Nanga Bulik, Kec. Lamandau, Kabupaten Lamandau, Kalimantan Tengah 74162, Indonesia",Kabupaten Lamandau,Kalimantan Tengah,-2.1803768,111.4466492
"Pulang Pisau, Kalimantan Tengah, Kabupaten Pulang Pisau, Kalimantan Tengah",Kabupaten Pulang Pisau,Kalimantan Tengah,-2.6849607,113.9536466
"Tamiang Layang, Dusun Tim., Kabupaten Barito Timur",Kabupaten Barito Timur,Kalimantan Tengah,-2.1110964,115.1533426
"Jl. Jenderal Sudirman, Desa sebabi, Kotawaringin Timur",Kabupaten Kotawaringin Timur,Kalimantan Tengah,-2.434166,112.4452968
"Jl. A. Yani, Sumber Agung, Pangkalan Lada, Kabupaten Kotawaringin Barat, Kalimantan Tengah 74113, Indonesia",Kabupaten Kotawaringin Barat,Kalimantan Tengah,-2.5647479,111.7432525
"Jl. Pangeran Antasari No.22, Mentawa Baru Hulu, Mentawa Baru Ketapang, Kabupaten Kotawaringin Timur, Kalimantan Tengah 74322",Kabupaten Kotawaringin Timur,Kalimantan Tengah,-2.543671,112.9611545
"Jl. M.T. Haryono No. 81 A, Mentawa Baru Hulu, Mentawa Baru Ketapang, Mentawa Baru Ketapang 74322",Kabupaten Kotawaringin Timur,Kalimantan Tengah,-2.5412174,112.9454716
