address,city,province,latitude,longitude
"Jl. Firdaus 2 No.76, Pasiran, Singkawang Bar., Kota Singkawang, Kalimantan Barat 79122, Indonesia",Kota Samarinda,Kalimantan Timur,0.9056799999999999,108.9742972
"Jl. Firdaus 2 No.76, Pasiran, Singkawang Bar., Kota Singkawang, Kalimantan Barat 79122, Indonesia",Kota Samarinda,Kalimantan Timur,0.9056799999999999,108.9742972
"Jl. R. Suprapto No 28 E-F, Sampit, Delta Pawan, Kabupaten Ketapang, Kalimantan Barat 78811, Indonesia",Kota Samarinda,Kalimantan Timur,-1.8435334,109.9701771
"Jl. Ahmad Yani, Mabuun, Murung Pudak, Kabupaten Tabalong, Kalimantan Selatan 71571, Indonesia",Kabupaten Kutai Kartanegara,Kalimantan Timur,-1.8873813,113.313739
"Jl. Mulawarman No.23, Pelabuhan, Kec. Samarinda Kota, Kota Samarinda, Kalimantan Timur 75242, Indonesia",Kota Samarinda,Kalimantan Timur,-0.5040456,117.1541496
"Kota Samarinda, Kalimantan Timur, Kota Samarinda, Kalimantan Timur",Kota Samarinda,Kalimantan Timur,-0.5016166,117.1264753
"Jl. Kapten Soedjono.Aj, Simpang Pasir, Kec. Palaran, Kota Samarinda, Kalimantan Timur 75251, Indonesia",Kota Samarinda,Kalimantan Timur,-0.5338729,117.1575783
"Jl. Mulawarman No.23, Pelabuhan, Kec. Samarinda Kota, Kota Samarinda, Kalimantan Timur 75242, Indonesia",Kota Samarinda,Kalimantan Timur,-0.5040456,117.1541496
"Jl. Kapten Soedjono.Aj, Simpang Pasir, Kec. Palaran, Kota Samarinda, Kalimantan Timur 75251, Indonesia",Kota Samarinda,Kalimantan Timur,-0.5338729,117.1575783
"Jl. K. Haji Ahmad Mukhsin No. 36, Timbau, Tenggarong, Timbau, Kec. Tenggarong, Kabupaten Kutai Kartanegara, Kalimantan Timur 75513, Indonesia",Kota Samarinda,Kalimantan Timur,-0.4358065,116.9967145
Jl. Kh Akhmad Mukhsin No. 36 Tenggarong Kalimantan Timur,Kabupaten Kutai Kartanegara,Kalimantan Timur,-0.4358065,116.9967145
"Jembayan Dalam, Kec. Loa Kulu, Kabupaten Kutai Kartanegara, Kalimantan Timur 75571, Indonesia",Kabupaten Kutai Kartanegara,Kalimantan Timur,-0.5742566,116.9322553
"Jl. P. AntasariTenggarong, Sempaja Utara, Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75127, Indonesia",Kota Samarinda,Kalimantan Timur,-0.4924882,117.1272335
"Jl. K. Haji Ahmad Mukhsin No. 36, Timbau, Tenggarong, Timbau, Kec. Tenggarong, Kabupaten Kutai Kartanegara, Kalimantan Timur 75513, Indonesia",Kabupaten Kutai Kartanegara,Kalimantan Timur,-0.4358065,116.9967145
"Jl. Yos Sudarso Ii No. 17 B-C, Sangatta, Kalimantan Timur",Kabupaten Kutai Timur,Kalimantan Timur,0.4973494,117.5307579
"Jl. Jend. Ahmad Yani, Sangatta Utara, Kabupaten Kutai Timur, Kalimantan Timur",Kabupaten Kutai Timur,Kalimantan Timur,0.5512075,117.5610408
"Jl. Yos Sudarso 2 No.36, Sangatta Utara, Kabupaten Kutai Timur, Kalimantan Timur 75683, Indonesia",Kabupaten Kutai Timur,Kalimantan Timur,0.4962069,117.5310554
"Jl. Yos Sudarso Ii No. 17 B-C, Sangatta, Kalimantan Timur",Kabupaten Kutai Timur,Kalimantan Timur,0.4973494,117.5307579
"Jl. Letjend S.Parman No.24, Temindung Permai, Kec. Sungai Pinang, Kota Samarinda, Kalimantan Timur 75242, Indonesia",Kota Samarinda,Kalimantan Timur,-0.4794543,117.1547734
"Jl. Hasan Basri No.1, Temindung Permai, Kec. Sungai Pinang, Kota Samarinda, Kalimantan Timur 75242, Indonesia",Kota Samarinda,Kalimantan Timur,-0.4810438999999999,117.1516831
"Jl. Ir. Soekarno Hatta Rt. 18 Handil, Kabupaten Kutai Kartanegara, Kalimantan Timur",Kabupaten Kutai Kartanegara,Kalimantan Timur,-0.8094704,117.2299602
"Jl. Ir Soekarno , Handil - Muara Jawa, Kabupaten Kutai Kartanegara, Kalimantan Timur",Kabupaten Kutai Kartanegara,Kalimantan Timur,-0.8094704,117.2299602
"Jl. Bung Tomo No. 1 Samarinda Seberang, Sungai Keledang",Kota Samarinda,Kalimantan Timur,-0.5152629,117.1285684
"Jl. Sultan Hasanuddin No.19 Samarinda Seberang, Kalimantan Timur",Kota Samarinda,Kalimantan Timur,-0.5113613,117.1394993
"Jl. Wahid Hasyim I No.5, Sempaja Sel., Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75119, Indonesia",Kota Samarinda,Kalimantan Timur,-0.4532013,117.1529608
"South Sangatta, East Kutai Regency, East Kalimantan, Indonesia",Kota Samarinda,Kalimantan Timur,0.4335827,117.3146351
"Jl. Donald Isaac Panjaitan No.31, Sungai Pinang Dalam, Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75117, Indonesia",Kota Samarinda,Kalimantan Timur,-0.4616502999999999,117.1779541
"Jl. Donald Isaac Panjaitan No.31, Sungai Pinang Dalam, Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75117, Indonesia",Kota Samarinda,Kalimantan Timur,-0.4616502999999999,117.1779541
"Jl. Donald Isaac Panjaitan No.31, Sungai Pinang Dalam, Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75117, Indonesia",Kabupaten Kutai Timur,Kalimantan Timur,-0.4616502999999999,117.1779541
"Jl. Kesuma Bangsa No.76, Bugis, Kec. Samarinda Kota, Kota Samarinda, Kalimantan Timur 75121, Indonesia",Kota Samarinda,Kalimantan Timur,-0.4899268000000001,117.1465171
"Jl. Kesuma Bangsa No.76, Bugis, Kec. Samarinda Kota, Kota Samarinda, Kalimantan Timur 75121, Indonesia",Kota Samarinda,Kalimantan Timur,-0.4899268000000001,117.1465171
"Jl. Kesuma Bangsa No.76, Bugis, Kec. Samarinda Kota, Kota Samarinda, Kalimantan Timur 75121, Indonesia",Kota Samarinda,Kalimantan Timur,-0.4899268000000001,117.1465171
"Jl. Ir. H. Juanda, Air Hitam, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75124, Indonesia",Kota Samarinda,Kalimantan Timur,-0.4808948,117.1346032
"Jl. Juanda 2 No.8, Air Hitam, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75243, Indonesia",Kota Samarinda,Kalimantan Timur,-0.4833045,117.1329015
"Jl. Pahlawan No.6, Dadi Mulya, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75123, Indonesia",Kota Samarinda,Kalimantan Timur,-0.4842441,117.1487234
"Jl. Pahlawan No.6, Dadi Mulya, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75123, Indonesia",Kota Samarinda,Kalimantan Timur,-0.4842441,117.1487234
"Jl. Pahlawan No.6, Dadi Mulya, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75123, Indonesia",Kota Samarinda,Kalimantan Timur,-0.4842441,117.1487234
"Jl.Untung Suropati No.20, RT.29, Karang Asam Ulu, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75126, Indonesia",Kota Samarinda,Kalimantan Timur,-0.528886,117.111782
"Jl. Untung Suropati, Samarinda Big Mall, Kalimantan Timur",Kota Samarinda,Kalimantan Timur,-0.5262742,117.1159382
"Jl. Ir. Soekarno, Muara Jawa Ulu, Muara Jawa, Kabupaten Kutai Kartanegara, Kalimantan Timur 75263, Indonesia",Kabupaten Kutai Kartanegara,Kalimantan Timur,-0.8094704,117.2299602
"Jl. Jenderal Sudirman No.22, Ps. Pagi, Kec. Samarinda Kota, Kota Samarinda, Kalimantan Timur 75242, Indonesia",Kota Balikpapan,Kalimantan Timur,-0.5013318,117.1433823
"Jl. Trikora Rt.07 Kel. Rawa Makmur, Kec. Samarinda",Kota Samarinda,Kalimantan Timur,-0.5591975,117.1684329
"Jl.  Jendral Sudirman Rt 11, Loa Kulu, Kota Samarinda, Kalimantan Timur",Kota Samarinda,Kalimantan Timur,-0.5232346,117.0236372
