address,city,province,latitude,longitude
"Jl. Agus Salim No.11, Selumit, Tarakan Tengah, Kota Tarakan, Kalimantan Utara, Indonesia",Kota Tarakan,Kalimantan Utara,3.3024549,117.586859
"Jl. Agus Salim No.11, Selumit, Tarakan Tengah, Kota Tarakan, Kalimantan Utara, Indonesia",Kota Tarakan,Kalimantan Utara,3.3024549,117.586859
"Jl. Gn. Selatan, Kp. Satu Skip, Tarakan Tengah, Kota Tarakan, Kalimantan Utara, Indonesia",Kota Tarakan,Kalimantan Utara,3.3352098,117.5916366
"Gg. Cekalang, Karang Rejo, Tarakan Bar., Kota Tarakan, Kalimantan Utara, Indonesia",Kota Tarakan,Kalimantan Utara,3.3053703,117.5831871
"Gg. Cekalang, Karang Rejo, Tarakan Bar., Kota Tarakan, Kalimantan Utara, Indonesia",Kota Tarakan,Kalimantan Utara,3.3053703,117.5831871
"Gg. Cekalang, Karang Rejo, Tarakan Bar., Kota Tarakan, Kalimantan Utara, Indonesia",Kota Tarakan,Kalimantan Utara,3.3053703,117.5831871
"Gg. Cekalang, Karang Rejo, Tarakan Bar., Kota Tarakan, Kalimantan Utara, Indonesia",Kota Tarakan,Kalimantan Utara,3.3053703,117.5831871
"Jl. Pangkalan Rt. 1 Pulau Bunyu, Kabupaten Bulungan, Kalimantan Utara",Kabupaten Bulungan,Kalimantan Utara,3.4616611,117.8383731
"Jl. Pangkalan, Bunyu Bar., Bunyu, Kabupaten Bulungan, Kalimantan Utara 77281, Indonesia",Kabupaten Bulungan,Kalimantan Utara,3.4616611,117.8383731
"Jl. Pangkalan Rt. 1 Pulau Bunyu, Kota Tarakan, Kalimantan Utara",Kota Tarakan,Kalimantan Utara,3.3155782,117.6072002
"Jl. Pangkalan Rt. 1 Pulau Bunyu, Kabupaten Bulungan, Kalimantan Utara",Kabupaten Bulungan,Kalimantan Utara,3.4616611,117.8383731
"Jl. Katamso Rt. 22 Eks Tanjung Selor, Kabupaten Bulungan, Kalimantan Utara",Kabupaten Bulungan,Kalimantan Utara,2.8498491,117.3623974
"Tanjung Selor Hilir, Tanjung Selor, Bulungan Regency, North Kalimantan, Indonesia",Kabupaten Bulungan,Kalimantan Utara,2.8707748,117.4145232
"Toko Jakarta, Jl. Katamso No.11, Kabupaten Bulungan, Kalimantan Utara 77214, Indonesia",Kabupaten Bulungan,Kalimantan Utara,2.8493743,117.3623105
"Jl. Panembahan, Malinau Kota, Kabupaten Malinau, Kalimantan Utara",Kabupaten Malinau,Kalimantan Utara,3.5884104,116.6214597
"Jl. Penembahan Rt.005, Kec. Malinau Kota, Kalimantan Utara",Kabupaten Malinau,Kalimantan Utara,3.5884104,116.6214597
"Jl. Tien Suharto Rt.15, Nunukan, Kabupaten Nunukan, Kalimantan Utara",Kabupaten Nunukan,Kalimantan Utara,4.1415622,117.6651318
"Jl. Tien Suharto, Rt. 15, Nunukan Tim., Kec. Nunukan",Kabupaten Nunukan,Kalimantan Utara,4.1415622,117.6651318
Jl. Ahmad Yani No. 12 Desa Sei Nyamuk Sebatik Timur Kab. Nunukan,Kabupaten Nunukan,Kalimantan Utara,4.1428942,117.9133042
"Jl. Kusuma Bangsa No. 66 Rt 024 Kota Tarakan, Kalimantan Utara",Kota Tarakan,Kalimantan Utara,3.2902644,117.5970552
"Muchtar, Jl. Sabirin Muhtar, Kuala Kurun, Kurun, Kabupaten Gunung MAS, Kalimantan Tengah 74571, Ind",Kota Tarakan,Kalimantan Utara,-1.1047459,113.8671886
"Jl. S. Sesayap, Rt. Viii Kampung Empat Tarakan.77124.Po.44",Kota Tarakan,Kalimantan Utara,3.3020712,117.6229478
"yonif Malinau Jl. Belayan, Malinau utara, KALIMANTAN UTARA",Kabupaten Malinau,Kalimantan Utara,3.6883993,116.6612307
"Kalimarau Airport, Tlk. Bayur, Kabupaten Berau, Kalimantan Timur 77315, Indonesia",Kota Tarakan,Kalimantan Utara,2.1479116,117.4338455
"Jl. Rajawali, Bukit Tunggal, Kec. Jekan Raya, Kota Palangka Raya, Kalimantan Tengah 73112, Indonesia",Kota Tarakan,Kalimantan Utara,-2.1823202,113.8820605
"Jl. Mulawarman, Karang Anyar, Tarakan Baru, Kota Tarakan, Kalimantan Utara",Kota Tarakan,Kalimantan Utara,3.3264605,117.5741135
"Jl. Skip Ii, Teras Baru, Tj. Selor, Kabupaten Bulungan, Kalimantan Utara",Kabupaten Bulungan,Kalimantan Utara,2.8451509,117.3655044
"Jl. Sulawesi No.30, Pamusian, Tarakan Tengah, Kota Tarakan, Kalimantan Utara, Indonesia",Kota Tarakan,Kalimantan Utara,3.3051205,117.6071476
"Jl. Tien Suharto Rt.15 Nunukan Kaltim, Kabupaten Nunukan, Kalimantan Utara",Kabupaten Nunukan,Kalimantan Utara,4.1415622,117.6651318
"Juwata International Airport, Karang Anyar Pantai, Tarakan Bar., Kota Tarakan, Kalimantan Utara, Indones",Kota Tarakan,Kalimantan Utara,3.3241072,117.5681613
