address,city,province,latitude,longitude
Jl. Kampung Melayu No. 24 Bukit Merapin Pangkalpinang,Kota Pangkal Pinang,Kepulauan Bangka Belitung,-2.1156029,106.0906451
"Jl. Jend Sudirman No. 31 Pangkalpinang, Kota Pangkal Pinang, Bangka Belitung",Kota Pangkal Pinang,Kepulauan Bangka Belitung,-2.1311876,106.1155248
"Jl. Jend. Sudirman No. 31, Pangkalpinang, Bangka Belitung",Kota Pangkal Pinang,Kepulauan Bangka Belitung,-2.1311876,106.1155248
"Jl. Jend Sudirman No. 31 Pangkalpinang, Kota Pangkal Pinang, Bangka Belitung",Kota Pangkal Pinang,Kepulauan Bangka Belitung,-2.1311876,106.1155248
"Ruko City Hall Jl Pulau Bangka Blok B.1-2, Bangka Belitung",Kota Pangkal Pinang,Kepulauan Bangka Belitung,-2.1507015,106.1559661
"Jl. Pulau Bangka Blok B1/2 Air Itam, Kota Pangkal Pinang, Bangka Belitung",Kota Pangkal Pinang,Kepulauan Bangka Belitung,-2.1492046,106.1565867
"Jl. Merdeka No. 6, Tanjung Pandan, Kabupaten Belitung, Bangka Belitung",Kabupaten Belitung,Kepulauan Bangka Belitung,-2.7404631,107.6336997
"Jl. Merdeka No. 6 Tanjung Pandan, Kabupaten Belitung, Bangka Belitung",Kabupaten Belitung,Kepulauan Bangka Belitung,-2.7404631,107.6336997
"Jl Merdeka No. 6 Tanjung Pandan, Kabupaten Belitung, Bangka Belitung",Kabupaten Belitung,Kepulauan Bangka Belitung,-2.7404631,107.6336997
"Jl. Yos Sudarso No.87, Tanjung, Mentok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung 33351, Indonesia",Kabupaten Bangka Barat,Kepulauan Bangka Belitung,-2.0703718,105.1618792
Rumah Sakit Sejiran Setason Jl. Kadur Dalam Mentok,Kabupaten Bangka Barat,Kepulauan Bangka Belitung,-2.0548796,105.2203899
"Jl. Yos Sudarso No I / 78 Kec. Mentok, Kabupaten Bangka Barat, Bangka Belitung",Kabupaten Bangka Barat,Kepulauan Bangka Belitung,-2.0616807,105.1676356
"Jl. Yos Sudarso No.87, Tanjung, Mentok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung 33351, Indonesia",Kabupaten Bangka Barat,Kepulauan Bangka Belitung,-2.0703718,105.1618792
"Jl. Jenderal Sudirman No.341a, Parit Padang, Sungai Liat, Kabupaten Bangka, Kepulauan Bangka Belitung 33211,",Kabupaten Bangka,Kepulauan Bangka Belitung,-1.8970356,106.1109812
"Jl. Jend. Sudirman No.18 Sungailiat, Kabupaten Bangka, Bangka Belitung",Kabupaten Bangka,Kepulauan Bangka Belitung,-1.8565363,106.1174461
"Jl. Jend Sudirman No.18 Sungailiat, Kabupaten Bangka, Bangka Belitung",Kabupaten Bangka,Kepulauan Bangka Belitung,-1.8565363,106.1174461
"Jl. Gajah Mada Kel Kuto Panji, Kec Belinyu, Kuto Panji, Belinyu, Kabupaten Bangka",Kabupaten Bangka,Kepulauan Bangka Belitung,-1.6428507,105.7740601
"Jl. Pangkalpinang- Mentok Kelapa, Kabupaten Bangka Barat, Bangka Belitung",Kabupaten Bangka Barat,Kepulauan Bangka Belitung,-1.8664432,105.6284667
"Jl. Ahmad Yani Desa Lenggang Kec Gantung, Bangka Belitung",Kabupaten Belitung Timur,Kepulauan Bangka Belitung,-2.9607005,108.1399022
Jl. Air Kuang No 15 B Parit Tiga Jebus Bangka 33362,Kabupaten Bangka Barat,Kepulauan Bangka Belitung,-1.673729,105.507895
"Desa Air Kuang No.2  Kec Parit Tiga Jebus, Bangka Belitung",Kabupaten Bangka Barat,Kepulauan Bangka Belitung,-1.6852929,105.5181302
"Jl Jend Sudirman No 414 Belitung Timur Manggar, Bangka Belitung",Kabupaten Bangka,Kepulauan Bangka Belitung,-2.8543145,108.2846196
"Jl. Jend. Sudirman No. 168, Manggar, Kabupaten Belitung Timur, Bangka Belitung",Kabupaten Belitung Timur,Kepulauan Bangka Belitung,-2.8628149,108.2809747
"Jl. Jend Sudirman No. 97, Toboali, Kabupaten Bangka Selatan, Bangka Belitung",Kabupaten Bangka Selatan,Kepulauan Bangka Belitung,-3.0088031,106.4606515
"Jl Jend Sudirman No. 97 Toboali, Kabupaten Bangka Selatan, Bangka Belitung",Kabupaten Bangka Selatan,Kepulauan Bangka Belitung,-3.0088031,106.4606515
"Jl. Depati Amir (D/H Jl. Mentok) No. 45 A, Pangkalpinang",Kota Pangkal Pinang,Kepulauan Bangka Belitung,-2.1357651,106.1021032
"Jl. Depati Amir (D/H Jl. Mentok) No. 45 A, Pangkalpinang",Kota Pangkal Pinang,Kepulauan Bangka Belitung,-2.1357651,106.1021032
"Jl. Raya Pos No. 25B Koba, Bangka Tengah, Bangka Belitung",Kabupaten Bangka Tengah,Kepulauan Bangka Belitung,-2.4896087,106.4090415
