address,city,province,latitude,longitude
"Jl. Imam Bonjol No.90 Kota Batam, Kota Batam, Kep. Riau",Kota Batam,Kepulauan Riau,1.1488271,104.0092381
"Jl. Imam Bonjol, Komp Nagoya Hill, Kota Batam, Kep. Riau",Kota Batam,Kepulauan Riau,1.145319,104.0112042
"Jl. Imam Bonjol No.90 Kota Batam, Kota Batam, Kep. Riau",Kota Batam,Kepulauan Riau,1.1488271,104.0092381
"Jl. Teuku Umar No.23, Tanjungpinang Kota, Kota Tanjung Pinang, Kepulauan Riau",Kota Tanjung Pinang,Kepulauan Riau,0.9299704999999998,104.4428788
"Jl. Permaisuri No.3, Tj. Uban Kota, Bintan Utara, Kabupaten Bintan, Kepulauan Riau",Kabupaten Bintan,Kepulauan Riau,1.0647293,104.2245602
"Jl. Kw. Industri Tunas No.1, Belian, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29444, Indonesia",Kota Batam,Kepulauan Riau,1.1056253,104.0713903
"Jl. Kw. Industri Tunas No.1, Belian, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29444, Indonesia",Kota Batam,Kepulauan Riau,1.1056253,104.0713903
"Batam, Batam City, Riau Islands, Indonesia, DKI Jakarta",Kota Batam,Kepulauan Riau,1.0458378,103.98402
"Jl.Tiban Raya Komp.Tiban Garden Batam, Kota Batam, Kep. Riau",Kota Batam,Kepulauan Riau,1.1073392,103.9662522
"Kawasan Industri Panbil Mall Panbil Lt. Dasar, Jl. Ahmad Yani, Muka Kuning, Sungai Beduk, Kabil, Kecamatan Nongsa, Kota Batam,",Kota Batam,Kepulauan Riau,1.0719457,104.0242732
"Jl. Achmad Yani, Kawasan Industri Panbil, Kep. Riau",Kota Batam,Kepulauan Riau,1.0742349,104.0247155
"Kawasan Industri Panbil, Jl. Ahmad Yani, Kep. Riau",Kota Batam,Kepulauan Riau,1.0742349,104.0247155
"Jl. Ahmad Yani No.28, Meral Kota, Meral, Kabupaten Karimun, Kepulauan Riau 29661, Indonesia",Kabupaten Tanjung Balai Karimun,Kepulauan Riau,0.9995009999999999,103.392071
"Jl. Teuku Umar No. 9 Karimun 29611, Kabupaten Karimun, Kep. Riau",Kabupaten Karimun,Kepulauan Riau,0.9921519000000001,103.4305192
