address,city,province,latitude,longitude
"Jl. Kolonel Atmo No.118, 17 Ilir, Kec. Ilir Tim. I, Kota Palembang, Sumatera Selatan 30125, Indonesia",Kota Metro,Lampung,-2.9857451,104.7617336
"Jl. Laksamana Malahayati No. 03, Kota Bandar Lampung, Lampung",Kota Bandar Lampung,Lampung,-5.448248599999999,105.2678481
"Jl. Laks. Malahayati No.3, Tlk. Betung, Kec. Telukbetung Selatan, Kota Bandar Lampung, Lampung",Kota Bandar Lampung,Lampung,-5.448163300000001,105.2678053
"Jl. Laksamana Malahayati No. 03, Kota Bandar Lampung, Lampung",Kota Bandar Lampung,Lampung,-5.448248599999999,105.2678481
"Jl. Teuku Umar No.3, Sidodadi, Kec. Kedaton, Kota Bandar Lampung, Lampung 35132, Indonesia",Kota Bandar Lampung,Lampung,-5.391175800000001,105.262224
"Jl. Teuku Umar No.3, Sidodadi, Kec. Kedaton, Kota Bandar Lampung, Lampung 35132, Indonesia",Kota Bandar Lampung,Lampung,-5.391175800000001,105.262224
"Jl. Teuku Umar No.3, Sidodadi, Kec. Kedaton, Kota Bandar Lampung, Lampung 35132, Indonesia",Kota Bandar Lampung,Lampung,-5.391175800000001,105.262224
"Jl. A.Yani No.18, Pringsewu Utara, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373, Indonesia",Kabupaten Pringsewu,Lampung,-5.3565223,104.9804733
"Jl. Ahmad Yani No. 9, Pringsewu, Kabupaten Pringsewu, Lampung",Kabupaten Pringsewu,Lampung,-5.3561999,104.9774994
"Jl. Ahmad Yani No. 9, Pringsewu, Kabupaten Pringsewu, Lampung",Kabupaten Pringsewu,Lampung,-5.3561999,104.9774994
"Jl. Lintas Timur, Desa Dwi Tunggal Jaya Banjar Agung",Kabupaten Tulang Bawang,Lampung,-4.2918872,105.2209443
"Jl. Lintas Timur, Desa Dwi Tunggal Jaya, Banjar Agung Kab Tulang Bawang",Kabupaten Tulang Bawang,Lampung,-4.2918872,105.2209443
"Jl. Lintas Timur Sumatera, Banjar Agung, Lampung",Kabupaten Tulang Bawang,Lampung,-4.2934449,105.2207696
"Jl. Ki Maja No. 4 Cde Bandarlampung, Kota Bandar Lampung, Lampung",Kota Bandar Lampung,Lampung,-5.386292699999999,105.2672716
"Jl. Ki Maja No. 131 C,D,E Way Halim, Kota Bandar Lampung, Lampung",Kota Bandar Lampung,Lampung,-5.3744722,105.2739029
"Jl. Ki Maja No.172, Perumnas Way Halim, Way Halim, Kota Bandar Lampung, Lampung 35136, Indonesia",Kota Bandar Lampung,Lampung,-5.371749599999999,105.274205
"Jl. Ki Maja No. 86, Sepang Jaya, Kedaton, Perumnas Way Halim",Kota Bandar Lampung,Lampung,-5.3716886,105.2741507
Jl. Proklamator Raya No. 38 Bandar Jaya Lampung Tengah,Kabupaten Lampung Tengah,Lampung,-4.936273799999999,105.2124145
Jl. Proklamator Raya No. 38 Bandar Jaya Lampung Tengah,Kabupaten Lampung Tengah,Lampung,-4.936273799999999,105.2124145
"Jl. Proklamator Raya No.18c, Bandar Jaya Bar., Kec. Terbanggi Besar, Kabupaten Lampung Tengah, Lampung 34162, Indonesia",Kabupaten Lampung Tengah,Lampung,-4.9333015,105.2123049
"JL. P. ANTASARI, TJ. BARU BANDAR LAMPUNG, Lampung",Kota Bandar Lampung,Lampung,-5.4039178,105.2801026
"Jl. Pangeran Antasari No. 149 B - C, Kota Bandar Lampung, Lampung",Kota Bandar Lampung,Lampung,-5.4030349,105.2814619
"Jl. P. Antasari 105261902 -5391432 35133, Lampung",Kota Bandar Lampung,Lampung,-5.4041369,105.2797371
"Jl. Raden Intan No.5, Gn. Sari, Kec. Tj. Karang Pusat, Kota Bandar Lampung, Lampung 35128, Indonesia",Kota Bandar Lampung,Lampung,-5.4090267,105.2593352
"Jl. Raden Intan No.5, Gn. Sari, Kec. Tj. Karang Pusat, Kota Bandar Lampung, Lampung 35128, Indonesia",Kota Bandar Lampung,Lampung,-5.4090267,105.2593352
"Jl. Raden Intan, Kalianda, Kec. Kalianda, Kabupaten Lampung Selatan, Lampung 35551, Indonesia",Kabupaten Lampung Selatan,Lampung,-5.7301555,105.5931564
"Jl. Raden Intan No. 123 / Abc Kota Baru, Way Urang",Kabupaten Lampung Selatan,Lampung,-5.735219799999999,105.593675
"Jl. Raden Intan, Kalianda, Kec. Kalianda, Kabupaten Lampung Selatan, Lampung 35551, Indonesia",Kabupaten Lampung Selatan,Lampung,-5.7301555,105.5931564
"Jl. Laks. Malahayati No.30, Kangkung, Kec. Telukbetung Selatan, Kota Bandar Lampung, Lampung",Kota Bandar Lampung,Lampung,-5.449019799999999,105.2666647
"Jl. Cut Mutia No. 46 Gulak Galik, Kota Bandar Lampung, Lampung",Kota Bandar Lampung,Lampung,-5.4331387,105.2569634
"Jl. Cut Mutia No.42, Gulak Galik, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35214, Indonesia",Kota Bandar Lampung,Lampung,-5.4334865,105.2585647
"Jl. W.R. Supratman No. 70 Lampung, Kota Bandar Lampung, Lampung",Kota Bandar Lampung,Lampung,-5.4441955,105.2675779
"Jl. Wr Supratman No.70 105270927 -5443443 35111, Lampung",Kota Bandar Lampung,Lampung,-4.5585849,105.4068079
"Jl. Yos Sudarso No.266, Panjang Utara, Kec. Panjang, Kota Bandar Lampung, Lampung 35145, Indonesia",Kota Bandar Lampung,Lampung,-5.474468,105.321551
"Jl. Sidomulyo - Candipuro No.31, Seloretno, Kec. Sidomulyo, Kabupaten Lampung Selatan, Lampung 35353, Indonesia",Kabupaten Lampung Selatan,Lampung,-5.6095839,105.5152052
"Jl. Raya Natar, Lampung Selatan, Kabupaten Lampung Selatan, Lampung",Kabupaten Lampung Selatan,Lampung,-5.3604168,105.2727487
"AH25, Merak Batin, Kec. Natar, Kabupaten Lampung Selatan, Lampung 35362, Indonesia",Kabupaten Lampung Selatan,Lampung,-5.3027511,105.1918067
"Jl. Jend. Sudirman No.43, Cempedak, Kotabumi, Kabupaten Lampung Utara, Lampung 34516, Indonesia",Kabupaten Lampung Utara,Lampung,-4.8221269,104.8794275
"Jl Raden Intan No 11-15 Kotabumi 34519, Kabupaten Lampung Utara, Lampung",Kabupaten Lampung Utara,Lampung,-4.8231684,104.8774046
"Jl. Jenderal Sudirman No. 43 Kotabumi, Kabupaten Lampung Utara, Lampung",Kabupaten Lampung Utara,Lampung,-4.8221269,104.8794275
"Dsn.Subing Jaya Rt/Rw.003/001 Kel.Rajabasa Lama Kec.Labuhan Ratu Lampung Timur, Lampung",Kabupaten Lampung Timur,Lampung,-5.1094851,105.6471178
"Jl. Sumber Jaya Lingkungan 4 No.33, Bukit Kemuning, Kabupaten Lampung Utara, Lampung 34556",Kota Bandar Lampung,Lampung,-5.0114066,104.4912175
"Banding Agung, Talang Padang, Banding Agung, Talang Padang, Kabupaten Tanggamus, Lampung 35377, Indonesia",Kabupaten Tanggamus,Lampung,-5.3723854,104.7827242
"Jl. AH Nasution No.15, Yosorejo, Kec. Metro Tim., Kota Metro, Lampung 34111, Indonesia",Kota Metro,Lampung,-5.1139484,105.3114832
"Jl. AH Nasution No.15, Yosorejo, Kec. Metro Tim., Kota Metro, Lampung 34111, Indonesia",Kota Metro,Lampung,-5.1139484,105.3114832
"Jl. AH Nasution No.15, Yosorejo, Kec. Metro Tim., Kota Metro, Lampung 34111, Indonesia",Kota Metro,Lampung,-5.1139484,105.3114832
"Jl. Raden Intan No. 97-98, Pasar Liwa, Balik Bukit Liwa, Kab. Lampung Barat",Kabupaten Lampung Barat,Lampung,-5.0302052,104.075332
"Jl. Raden Intan, Liwa Ka. Lampung Barat, Lampung",Kabupaten Lampung Barat,Lampung,-5.0303716,104.0754912
"Jl. Ra Kartini 105255562 -5413414 35127, Lampung",Kota Bandar Lampung,Lampung,-5.4140939,105.2553111
"Jl Kartini No 79 Tanjungkarang 35111, Kota Bandar Lampung, Lampung",Kota Bandar Lampung,Lampung,-5.4155982,105.2543956
"Jl. Kartini No.157, Kaliawi, Kec. Tj. Karang Pusat, Kota Bandar Lampung, Lampung 35127, Indonesia",Kota Bandar Lampung,Lampung,-5.4134091,105.2554689
"Jl. Raden Intan No.61, Enggal, Kec. Tj. Karang Pusat",Kota Bandar Lampung,Lampung,-5.421882699999999,105.2584978
"Jl. Raden Intan No.95, Enggal, Engal, Kota Bandar Lampung, Lampung 35118, Indonesia",Kota Bandar Lampung,Lampung,-5.414194999999999,105.2586898
"Jl. Raden Intan No.95, Enggal, Engal, Kota Bandar Lampung, Lampung 35118, Indonesia",Kota Bandar Lampung,Lampung,-5.414194999999999,105.2586898
"Jl. Kartini No.214, Tj. Karang, Engal, Kota Bandar Lampung, Lampung 35117, Indonesia",Kota Bandar Lampung,Lampung,-5.4114095,105.2564855
"Jl. Ra Kartini 105256516 -5410512 35127, Lampung",Kota Bandar Lampung,Lampung,-5.4140939,105.2553111
"Jl. Soekarno Hatta No. 50 Bandar Lampung, Lampung",Kota Bandar Lampung,Lampung,-5.4169448,105.2955588
"Jl. Arif Rahman Hakim No.15, Jagabaya III, Way Halim, Kota Bandar Lampung, Lampung 35122, Indonesia",Kota Bandar Lampung,Lampung,-5.4017789,105.2829869
"Jalan Teuku Cik Ditiro No. 56, Kemiling, Sumber Rejo, Bandar Lampung, Kota Bandar Lampung, Lampung 35155",Kota Bandar Lampung,Lampung,-5.3972001,105.213196
"Jl. Jendral Sudirman No.416, Ganjaragung, Kec. Metro Bar., Kota Metro, Lampung 34114, Indonesia",Kabupaten Tanggamus,Lampung,-5.1139074,105.300805
"Jl.Pelabuhan Bakauheni, Bakauheni, Kabupaten Lampung Selatan, Lampung",Kabupaten Lampung Selatan,Lampung,-5.8700153,105.7525951
"Km 108 Astra Ksetra Menggala Tulang Bawang, Lampung",Kabupaten Lampung Tengah,Lampung,-4.607494099999999,105.2253316
"Jl. Urip Sumoharjo No.200, Way Halim Permai, Kec. Sukarame, Kota Bandar Lampung, Lampung 35133, Indonesia",Kota Bandar Lampung,Lampung,-5.391207,105.276417
"Jl. Nunyai No.8, Rajabasa, Kec. Rajabasa, Kota Bandar Lampung, Lampung 35144, Indonesia",Kota Bandar Lampung,Lampung,-5.3683435,105.2331793
"Jl. Arif Rahman Hakim No.45, Jagabaya Ii, Way Halim, Kota Bandar Lampung, Lampung 35122",Kota Bandar Lampung,Lampung,-5.3930596,105.2814021
"Gunung Batin Udik, Terusan Nunyai, Kabupaten Lampung Tengah, Lampung",Kabupaten Lampung Tengah,Lampung,-4.7129644,105.2077798
"Gunung Batin Udik, Terusan Nunyai, Kabupaten Lampung Tengah, Lampung",Kabupaten Lampung Tengah,Lampung,-4.7129644,105.2077798
"Jl. Dahlia, Gn. Batin Udik, Terusan Nunyai, Kabupaten Lampung Tengah, Lampung 34164, Indonesia",Kabupaten Lampung Tengah,Lampung,-4.7141913,105.2896467
"Jl. Raya Gunung Sakti, Gunung Sakti, Menggala, South Menggala, Tulang Bawang, Tulangbawang Regency, Lampung 34683, Indonesia",Kabupaten Tulang Bawang,Lampung,-4.5104304,105.2325171
"Jl. Cendana No.31Rawa Laut, Enggal, Bandar Lampung",Kota Bandar Lampung,Lampung,-5.424524400000001,105.2690822
"Jl. AH Nasution No.19, Pekalongan, Kec. Pekalongan, Kabupaten Lampung Timur, Lampung 34391, Indonesia",Kabupaten Lampung Tengah,Lampung,-5.0857278,105.3526091
"Jl.Kolonel Makmun Rasyid,Way Urang - Kalianda, Lampung",Kota Bandar Lampung,Lampung,-5.7226199,105.5874352
"Jl. Komarudin, Rajabasa Raya, Kec. Rajabasa, Kota Bandar Lampung, Lampung 35143, Indonesia",Kota Bandar Lampung,Lampung,-5.3526131,105.239514
"Jl. Ganjaran No.127, Gedung Tataan, Kec. Gedong Tataan, Kabupaten Pesawaran, Lampung 35366, Indonesia",Kabupaten Pesawaran,Lampung,-5.380072,105.0997431
"Jl. Yos Sudarso, Way Lunik, Kec. Telukbetung Selatan, Kota Bandar Lampung, Lampung, Indonesia",Kota Bandar Lampung,Lampung,-5.4540882,105.3096065
"Jl. Gatot Subroto No.193d, Pecoh Raya, Kec. Telukbetung Selatan, Kota Bandar Lampung, Lampung 35226, Indonesia",Kota Bandar Lampung,Lampung,-5.4356319,105.2841712
"Jl. Wolter Monginsidi No.70, RT.02/RW.2, Pengajaran, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35214, Indonesia",Kota Bandar Lampung,Lampung,-5.4344272,105.254794
"Jl. Pangeran Senopati Rt.01 Rw 01 Karang Sari/Jati Agung, Lampung Selatan",Kabupaten Lampung Selatan,Lampung,-5.3300195,105.2903875
"Jl Raya Menggala Km.108 Kec Gd Meneng,Tlg Bawang, Lampung",Kota Bandar Lampung,Lampung,-4.3584314,105.7101126
"Jl. Lintas Timur Sumatera Lebuh Dalem, Menggala Timur, Tulang Bawang",Kabupaten Tulang Bawang,Lampung,-4.3937109,105.2549064
"Jl. Laks. Malahayati No.3 Tlk Betung, Kec. Telukbetung",Kota Bandar Lampung,Lampung,-5.448163300000001,105.2678053
"Mataram Udik, Kec. Bandar Mataram, Kabupaten Lampung Tengah",Kabupaten Lampung Tengah,Lampung,-4.689316,105.453003
"Jl. Ki Maja No.67, Sepang Jaya, Kec. Kedaton, Kota Bandar Lampung, Lampung 35132, Indonesia",Kota Bandar Lampung,Lampung,-5.3768469,105.2719398
"Jl. Pangeran Antasari No.40, Tj. Baru, Kedamaian, Kota Bandar Lampung, Lampung 35122",Kota Bandar Lampung,Lampung,-5.4063647,105.276375
"Jl. Raya Trimurjo, Adipuro, Trimurjo, Kabupaten Pesawaran, Lampung 35363, Indonesia",Kota Metro,Lampung,-5.1558368,105.2320473
"Jl. Raya Kurungan Nyawa No.99, Kurungannyawa, Kec. Gedong Tataan, Kabupaten Pesawaran, Lampung 35153, Indonesia",Kabupaten Pesawaran,Lampung,-5.376338,105.195292
"Jl. Dr. Susilo No.2, Sumur Batu, Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35212",Kabupaten Lampung Barat,Lampung,-5.430240899999999,105.2625897
"Jalan Imam Bonjol, Sumber Rejo, Kemiling, Kota Bandar Lampung, Lampung 35118",Kota Bandar Lampung,Lampung,-5.3920042,105.2138372
"Jl.Ah Nasution No.208 Metro Timur, Kota Metro, Lampung",Kota Metro,Lampung,-5.1093744,105.3280382
"Kota Dalam, Kec. Sidomulyo, Kabupaten Lampung Selatan, Lampung 35353, Indonesia",Kabupaten Lampung Selatan,Lampung,-5.6117306,105.5034785
"Jl. Mayjend Alamsyah Rpn Kelapa Tujuh, Lampung Utara",Kabupaten Lampung Utara,Lampung,-4.8429325,104.9047657
"Jl. Gatot Subroto No.136, Pecoh Raya, Kec. Telukbetung Selatan, Kota Bandar Lampung, Lampung 35226, Indonesia",Kota Bandar Lampung,Lampung,-5.436005799999999,105.2838639
"Jl. Hayam Wuruk No. 1 Bandar Lampung, Kota Bandar Lampung, Lampung",Kota Bandar Lampung,Lampung,-5.411325,105.281751
"jalan Yos Sudarso (depan bengkel hartono sebelah chamart 2 pelabuhan / sebelah rumah makan kamang, Panjang Utara, Kec. Panjang, Kota B",Kota Bandar Lampung,Lampung,-5.4729617,105.3233633
"Jl. W. R. Supratman No.1, Kupang Kota, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung",Kota Bandar Lampung,Lampung,-5.4447887,105.2616906
"Jl. Teuku Umar No.3a, Kedaton, Kec. Kedaton, Kota Bandar Lampung, Lampung 35123, Indonesia",Kota Bandar Lampung,Lampung,-5.3831418,105.2588297
"Jl. Jenderal Sudirman No.142, Pahoman, Engal, Kota Bandar Lampung, Lampung 35213, Indonesia",Kota Bandar Lampung,Lampung,-5.423093,105.271203
"Jl. Jend. A. Yani Poncowati Terbanggi, Kabupaten Lampung Tengah, Lampung",Kabupaten Lampung Tengah,Lampung,-4.9337687,105.2083077
"Rhawan Sakti, Muara Putih, Kec. Natar, Kabupaten Lampung Selatan, Lampung, Indonesia",Kabupaten Lampung Tengah,Lampung,-5.31198,105.195387
"Jl. Dakwah No.1, Labuhan Ratu, Kec. Kedaton, Kota Bandar Lampung, Lampung 35142, Indonesia",Kota Bandar Lampung,Lampung,-5.3780366,105.2515894
"Jl. Wolter Monginsidi No.120a, Pengajaran, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35214, Indonesia",Kota Bandar Lampung,Lampung,-5.43182,105.2536328
"Jl. Citra Garden, Negeri Olok Gading, Tlk. Betung Bar., Kota Bandar Lampung, Lampung 35223, Indonesia",Kota Bandar Lampung,Lampung,-5.4448612,105.2464588
"Jl. Yos Sudarso, Panjang Utara, Bandar Lampung, Lampung",Kota Bandar Lampung,Lampung,-5.4710319,105.3222719
"Jl. Raden Intan No.32, Tj. Karang, Kota Bandar Lampung, Lampung",Kota Bandar Lampung,Lampung,-5.4128887,105.2576063
"Jl. Ahmad Yani No.15, Iringmulyo, Kec. Metro Tim., Kota Metro, Lampung 34124, Indonesia",Kota Metro,Lampung,-5.118283,105.3132456
"Gg. Baru 1 No.25, Jagabaya III, Kec. Sukabumi, Kota Bandar Lampung, Lampung 35122, Indonesia",Kota Bandar Lampung,Lampung,-5.406265299999999,105.2744105
"Jl. Raya Branti Rt 19 Rw 008, Desa Candimas, Lampung",Kabupaten Lampung Selatan,Lampung,-5.2131231,105.1727956
"Jl. Raden Gunawan Gg. Anggrek II No.2, Hajimena, Kec. Natar, Kabupaten Lampung Selatan, Lampung 35142, Indonesia",Kota Bandar Lampung,Lampung,-5.362901,105.2240232
"Jl. Raya Gn. Sugih No.16, Kota Gajah, Kabupaten Lampung Tengah, Lampung 34384, Indonesia",Kabupaten Lampung Tengah,Lampung,-4.9836187,105.3175486
"Jl. Lintas Sumatera Lempuyang Bandar, Kec. Way Pengubuan",Kabupaten Lampung Tengah,Lampung,-4.7858342,105.2251215
"Jl. Lintas Sumatera Banjar Negeri, Natar. Lam Sel, Lampung",Kabupaten Lampung Selatan,Lampung,-5.216212,105.1728429
