address,city,province,latitude,longitude
"Jl. Pantai Mardika, Kel Rijali, Sirimau, Kota Ambon, Ma",Kota Ambon,Maluku,-3.6882642,128.1828147
"Jl. Pantai Mardika, Kel Rijali, Sirimau, Kota Ambon, Ma",Kota Ambon,Maluku,-3.6882642,128.1828147
"Jl. Pantai Mardika, Kel Rijali, Sirimau, Kota Ambon, Ma",Kota Ambon,Maluku,-3.6882642,128.1828147
"Jl. Pantai Mardika, Kel Rijali, Sirimau, Kota Ambon, Ma",Kota Ambon,Maluku,-3.6882642,128.1828147
"Jl. Kampus, Poka, Tlk. Ambon, Kota Ambon, Maluku, I",Kota Ambon,Maluku,-3.652292,128.1910761
"Jl. Raya Pattimura No. Sk.2 / 1, Kota Ambon, Maluku",Kota Ambon,Maluku,-3.6958552,128.1846443
"Jl. Raya Pattimura No. Sk.2 / 1, Kota Ambon, Maluku",Kota Ambon,Maluku,-3.6958552,128.1846443
"Jl. Pattimura No.14, Uritetu, Sirimau, Kota Ambon, M",Kota Ambon,Maluku,-3.6949937,128.1837202
"Jl. Raya Pattimura No. Sk.2 / 1, Kota Ambon, Maluku",Kota Ambon,Maluku,-3.6958552,128.1846443
"Jl. Wolter Monginsidi, Ds. Passo, Baguala, Maluku",Kota Ambon,Maluku,-3.6424182,128.2401973
"Jl. Laksda Leo Wattimena, Passo, Kota Ambon, MALU",Kota Ambon,Maluku,-3.6293068,128.2381542
"Jl. Abdullah Solissa No.297, Ampera, Kota Masohi, Ka",Kabupaten Maluku Tengah,Maluku,-3.3039505,128.9505618
"Jl. Ir. M. Putuhena, Desa Wayame, Ambon, Maluku",Kota Ambon,Maluku,-3.6645372,128.1673661
"Jl. Bhineka, Olilit, Tanimbar Sel., Kabupaten Maluku T",Kabupaten Kepulauan Tanimbar,Maluku,-7.9809815,131.2971474
"Waesala, Huamual Belakang, West Seram Bagian Reg",Kota Ambon,Maluku,-3.1946096,127.9572703
"Jl. Pattimura No.26, Uritetu, Sirimau, Kota Ambon, M",Kota Ambon,Maluku,-3.6967399,128.1848428
"Jl. Jend. Sudirman No.1, Langgur, Kei Kecil, Kabupaten",Kabupaten Maluku Tenggara,Maluku,-5.664977299999999,132.7388758
"Jl. Jend. Sudirman No.1, Langgur, Kei Kecil, Kabupaten",Kabupaten Maluku Tenggara,Maluku,-5.664977299999999,132.7388758
"Jl. Wolter Monginsidi, Halong, Baguala, Kota Ambon,",Kota Ambon,Maluku,-3.6600631,128.2183798
"Waiheru, Baguala, Kota Ambon, Maluku, Kota Ambon",Kota Ambon,Maluku,-3.6159679,128.2163717
"Jl. Raya Air Kuning, Batu Merah, Sirimau, Kota Ambon",Kota Ambon,Maluku,-3.681049,128.2078791
"Jl. Jenderal Sudirman, Hative Kecil, Sirimau, Kota Amb",Kota Ambon,Maluku,-3.6740208,128.1980912
"Jl. A. Y. Patty No.54, Kel Honipopu, Sirimau, Kota Amb",Kota Ambon,Maluku,-3.6950805,128.1796991
"Jl. Galunggung, Batu Merah, Sirimau, Kota Ambon, M",Kota Ambon,Maluku,-3.6828942,128.1905128
"Jl. Pantai Mardika, Kel Rijali, Sirimau, Kota Ambon, Ma",Kota Ambon,Maluku,-3.6882642,128.1828147
"Jl. Y. Syaranamual, Hunuth/Durian Patah, Tlk. Ambon,",Kota Ambon,Maluku,-3.63727,128.204066
"JL.Mayjen DI Panjaitan SK-2/2-11, Maluku Uritetu Siri",Kota Ambon,Maluku,-3.6939333,128.1833782
"Jl. Wolter Monginsidi, Halong, Baguala, Kota Ambon,",Kota Ambon,Maluku,-3.6600631,128.2183798
"JL Ir. Putuhena, Wayame, Tlk. Ambon, Kota Ambon, M",Kota Ambon,Maluku,-3.6645372,128.1673661
"Jl. Lembong, Wenang Utara, Kec. Wenang, Kota Mana",Kota Ambon,Maluku,1.4947252,124.8399682
"Jl. Soa Bali No.115, Kel Silale, Nusaniwe, Kota Ambon,",Kota Ambon,Maluku,-3.6998018,128.1781742
"Jl. Tembusan Nusakambangan No.2B, Ende, Kec. Waj",Kabupaten Maluku Tenggara,Maluku,-5.1296965,119.4131029
"Jl. RA Kartini No.14, Kel Amantelu, Sirimau, Kota Amb",Kota Ambon,Maluku,-3.6893253,128.1939378
"Jl. DR. Kayadoe, Kel Benteng, Nusaniwe, Kota Ambon,",Kota Ambon,Maluku,-3.7078706,128.1657052
"Pattimura International Airport Ambon (AMQ), Jl. Pro",Kota Ambon,Maluku,-3.7051005,128.0885813
"Kel Ahusen, Sirimau, Kota Ambon, Maluku, Maluku",Kota Ambon,Maluku,-3.69957,128.1827181
"Jl. Nona Saar Sopacua No.16,Kel Wainitu Ambon, Mal",Kota Ambon,Maluku,-3.7050036,128.1661986
