address,city,province,latitude,longitude
"Jl. Aa. Gde Ngurah No 48 A-B Cakranegara Mataram, Nusa Tenggara Barat",Kota Mataram,Nusa Tenggara Barat,-8.5889557,116.1298037
"Jl. Aa. Gde Ngurah No 48 A-B Cakranegara Mataram, Nusa Tenggara Barat",Kota Mataram,Nusa Tenggara Barat,-8.5889557,116.1298037
"Jl. Aa. Gde Ngurah No 48 A-B Cakranegara Mataram, Nusa Tenggara Barat",Kota Mataram,Nusa Tenggara Barat,-8.5889557,116.1298037
"Jl. Pejanggik, Pejanggik, Kec. Mataram, Kota Mataram, Nusa Tenggara Bar. 83231",Kota Mataram,Nusa Tenggara Barat,-8.5856726,116.1175606
"Jl. AA. Gde Ngurah no 48 A-B Cakranegara Mataram, Nusa Tenggara Barat",Kota Mataram,Nusa Tenggara Barat,-8.5889557,116.1298037
"Jl. Aa. Gde Ngurah No 48 A-B Cakranegara Mataram, Nusa Tenggara Barat",Kota Mataram,Nusa Tenggara Barat,-8.5889557,116.1298037
Jl Jend.Sudirman Kompleks Pertokoan C.3-4 Lombok Tengah Ntb 83511,Kabupaten Lombok Tengah,Nusa Tenggara Barat,-8.7087846,116.2754616
Jl Jend.Sudirman Kompleks Pertokoan C.3-4 Lombok Tengah Ntb 83511,Kabupaten Lombok Tengah,Nusa Tenggara Barat,-8.7087846,116.2754616
"Jl. Jend Sudirman No. 69 - 70, Pancor, Pancor, Selong, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83611",Kabupaten Lombok Timur,Nusa Tenggara Barat,-8.652412199999999,116.5379222
"Jl. Jend Sudirman No. 69 - 70, Pancor, Pancor, Selong, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83611",Kabupaten Lombok Timur,Nusa Tenggara Barat,-8.652412199999999,116.5379222
"Jl. Jend. Sudirman No. 69-70, Selong, Kabupaten Lombok Timur, Nusa Tenggara Barat",Kabupaten Lombok Timur,Nusa Tenggara Barat,-8.7087579,116.275392
"Jl. Jend. Sudirman No. 69-70, Pancor Selong, Nusa Tenggara Barat",Kabupaten Lombok Timur,Nusa Tenggara Barat,-8.6699792,116.1337353
"Jl. Sumbawa- Bima No. 2 Paruga Bima, Kota Bima, Nusa Tenggara Barat",Kota Bima,Nusa Tenggara Barat,-8.4532085,118.7254238
