address,city,province,latitude,longitude
"Jl. Pejanggik No.12a, Pejanggik, Kec. Mataram, Kota Mataram, Nusa Tenggara Bar. 83126, Indonesia",Kabupaten Timor Tengah Utara,Nusa Tenggara Timur,-8.5847178,116.1154701
"Jl. Gajah Mada No.135, Dauh Peken, Kec. Tabanan, Kabupaten Tabanan, Bali 82113, Indonesia",Kabupaten Belu,Nusa Tenggara Timur,-8.5388153,115.1226065
"Jl. Urip Sumohardjo No.2, Merdeka, Kec. Kota Lama, Kota Kupang, Nusa Tenggara Tim. 85225, Indonesia",Kota Kupang,Nusa Tenggara Timur,-10.1624091,123.5828894
"Jl. Urip Sumoharjo, Solor, Kec. Kota Lama, Kota Kupang, Nusa Tenggara Tim. 85229",Kota Kupang,Nusa Tenggara Timur,-10.1628356,123.5824358
"Jl. Urip Sumohardjo No.2, Merdeka, Kec. Kota Lama, Kota Kupang, Nusa Tenggara Tim. 85225, Indonesia",Kota Kupang,Nusa Tenggara Timur,-10.1624091,123.5828894
"Jl. Urip Sumoharjo, Solor, Kec. Kota Lama, Kota Kupang, Nusa Tenggara Tim. 85229",Kota Kupang,Nusa Tenggara Timur,-10.1628356,123.5824358
"Jl. Raya Betun, Desa Wehali, Kec. Malaka Tengah, Nusa Tenggara Timur",Kabupaten Malaka,Nusa Tenggara Timur,-9.5060337,124.9707996
"Jl. Moch Hatta No.54a, Oetete, Kec. Oebobo, Kota Kupang, Nusa Tenggara Tim. 85112, Indonesia",Kota Kupang,Nusa Tenggara Timur,-10.1691042,123.5859162
"No Setiabudi, Jl. Prof. DR. Satrio No.165, RT.4/RW.4, Karet Semanggi, Setiabudi, South Jakarta City, Jakarta 12",Kota Kupang,Nusa Tenggara Timur,-6.219956199999999,106.8199335
"Jl. Moch Hatta No.54a, Oetete, Kec. Oebobo, Kota Kupang, Nusa Tenggara Tim. 85112, Indonesia",Kota Kupang,Nusa Tenggara Timur,-10.1691042,123.5859162
"Jl. Moa Toda No.23, Kota Baru, Alok Tim., Kabupaten Sikka, Nusa Tenggara Tim., Indonesia",Kabupaten Sikka,Nusa Tenggara Timur,-8.6235343,122.2188318
"Jl. Raja Centis No.33, Kota Baru, Alok Tim., Kabupaten Sikka, Nusa Tenggara Tim., Indonesia",Kabupaten Sikka,Nusa Tenggara Timur,-8.6228119,122.2181669
"jaln baru kali wae ces,banteng2, Mbaumuku, Langke Rembong, Kabupaten Manggarai, Nusa Tenggara Tim., I",Kabupaten Manggarai,Nusa Tenggara Timur,-8.6035026,120.4669471
"Jl. Timor Raya No.90, Oesapa Bar., Klp. Lima, Kota Kupang, Nusa Tenggara Tim., Indonesia",Kota Kupang,Nusa Tenggara Timur,-10.1439411,123.6248771
"Jl. Pejanggik No.12a, Pejanggik, Kec. Mataram, Kota Mataram, Nusa Tenggara Bar. 83126, Indonesia",Kabupaten Timor Tengah Selatan,Nusa Tenggara Timur,-8.5847178,116.1154701
"Jl. Moh Hatta , Danga , Nagekeo - Mbay, Kabupaten Nagekeo, Nusa Tenggara Timur",Kabupaten Nagekeo,Nusa Tenggara Timur,-8.5678148,121.2730644
"Jl. Gajah Mada, Kisanata, Bajawa, Kabupaten Ngada, Nusa Tenggara Tim.",Kabupaten Ngada,Nusa Tenggara Timur,-8.7886136,120.9716592
"Jl. Kelimutu No.33a, Kel. Kelimutu, Ende Tengah, Kabupaten Ende, Nusa Tenggara Tim., Indonesia",Kabupaten Ende,Nusa Tenggara Timur,-8.8437945,121.6545809
"Jl. W.J. Lalamentik No.181, Oebufu, Kec. Oebobo, Kota Kupang, Nusa Tenggara Tim. 85142, Indonesia",Kabupaten Kupang,Nusa Tenggara Timur,-10.1743225,123.6185606
"Jl. Raya Waitabula, Radamata, Laura, Kabupaten Sumba Barat Daya, Nusa Tenggara Timur",Kabupaten Sumba Barat Daya,Nusa Tenggara Timur,-9.430167599999999,119.2382754
"Jl. Soekarno Hatta, Labuan Bajo, Kabupaten Manggarai Barat, Nusa Tenggara Timur",Kabupaten Manggarai Barat,Nusa Tenggara Timur,-8.4933074,119.8795324
