address,city,province,latitude,longitude
"JL. JENDRAL AHMAD YANI NO.35, JAYAPURA, Kota Jayapura, Papua",Kota Jayapura,Papua,-2.542994600000001,140.7035692
"Jl Ahmad Yani No 35, Gurabesi, Jayapura Utara  , Papua",Kota Jayapura,Papua,-2.542994600000001,140.7035692
"Jl. Jendral Ahmad Yani No.35, Jayapura, Kota Jayapura, Papua",Kota Jayapura,Papua,-2.542994600000001,140.7035692
"Jl. Jendral Ahmad Yani No.35, Jayapura  , Papua",Kota Jayapura,Papua,-2.542994600000001,140.7035692
"Jl. Dr. Soetomo No.32, Gurabesi, Jayapura Utara, Kota Jayapura, Papua 99",Kabupaten Mimika,Papua,-2.5447563,140.7016546
"Jl. Dr. Soetomo No.32, Gurabesi, Jayapura Utara, Kota Jayapura, Papua 99",Kota Jayapura,Papua,-2.5447563,140.7016546
"Jl. Dr. Soetomo No.32, Gurabesi, Jayapura Utara, Kota Jayapura, Papua 99",Kota Jayapura,Papua,-2.5447563,140.7016546
"Street Jl. Tembagapura Raya No.605, Tembagapura, Kec. Tembagapura, K",Kabupaten Mimika,Papua,-4.143759999999999,137.0919417
"Street 24, Tembagapura, Kec. Tembagapura, Kabupaten Mimika, Papua 9",Kabupaten Mimika,Papua,-4.1422433,137.0928659
"Street 24, Tembagapura, Kec. Tembagapura, Kabupaten Mimika, Papua 9",Kabupaten Mimika,Papua,-4.1422433,137.0928659
"Jl. Belibis, Kwamki, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971, In",Kabupaten Mimika,Papua,-4.5469899,136.8854937
"Jl. Belibis, Kwamki, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971, In",Kabupaten Mimika,Papua,-4.5469899,136.8854937
"Jl. Belibis, Kwamki, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971, In",Kabupaten Mimika,Papua,-4.5469899,136.8854937
"Jl. Belibis, Kwamki, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971, In",Kabupaten Mimika,Papua,-4.5469899,136.8854937
"Jl. Belibis, Kwamki, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971, In",Kabupaten Mimika,Papua,-4.5469899,136.8854937
"Jl. Belibis, Kwamki, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971, In",Kabupaten Timika,Papua,-4.5469899,136.8854937
"Jl. Budi Utomo No.8c, Kwamki, Kec. Mimika Baru, Kabupaten Mimika, Pap",Kabupaten Mimika,Papua,-4.542714999999999,136.88368
"Jl. Belibis, Kwamki, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971, In",Kota Jayapura,Papua,-4.5469899,136.8854937
