address,city,province,latitude,longitude
"Jl. Kijang, Pasangkayu, Sulawesi Barat, Kabupaten Pasangkayu, Sulawesi Barat",Kabupaten Pasangkayu,Sulawesi Barat,-1.1802865,119.3677904
"Jl. Kijang, Pasangkayu, Kabupaten Mamuju Utara, Sulawesi Barat",Kabupaten Pasangkayu,Sulawesi Barat,-1.1802865,119.3677904
"Jl. Jenderal Sudirman No.132, Tumpiling, Wonomulyo",Kabupaten Polewali Mandar,Sulawesi Barat,-3.4135436,119.2611335
"Jl. Jenderal Sudirman No.132, Tumpiling, Wonomulyo",Kabupaten Polewali Mandar,Sulawesi Barat,-3.4135436,119.2611335
"Jl. Poros Majene - Mamuju No.44, Sidodadi, Wonomulyo, Kabupaten Polewali",Kabupaten Polewali Mandar,Sulawesi Barat,-3.3973524,119.2142567
"Jl. Jend Sudirman, Simboro, Kec. Simboro Dan Kepulauan",Kabupaten Mamuju,Sulawesi Barat,-2.6852758,118.8695805
"Jl. Jend Sudirman, Simboro, Kec. Simboro Dan Kepulauan",Kabupaten Mamuju,Sulawesi Barat,-2.6852758,118.8695805
"Jl. Jend Sudirman, Simboro, Kec. Simboro Dan Kepulauan",Kabupaten Mamuju,Sulawesi Barat,-2.6852758,118.8695805
"Jl. Poros Majene-Mamuju, Kec. Simboro, Kabupaten Mamuju, SULAWESI BARA",Kabupaten Mamuju,Sulawesi Barat,-2.6947813,118.8667693
"Jl. Yos Sudarso No.51, Binanga, Kec. Mamuju, Sulawesi Barat",Kabupaten Mamuju,Sulawesi Barat,-2.6724477,118.8880394
"Jl. Mr. Muh. Yamin No.90, Madatte, Polewali, Kabupaten Polewali Mandar, Sul",Kabupaten Polewali Mandar,Sulawesi Barat,-3.4099653,119.3111509
"Jl. Poros Majene - Mamuju No.166-132, Wattang, Polewali, Kabupaten Polewal",Kabupaten Polewali Mandar,Sulawesi Barat,-3.4328014,119.3466539
