address,city,province,latitude,longitude
"Jl. Kartini No.16, RT.001/RW.01, Baru, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90111, Indonesia",Kota Makassar,Sulawesi Selatan,-5.1371125,119.4106768
"Jl. R.A Kartini No.19, Baru, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90111, Indonesia",Kota Makassar,Sulawesi Selatan,-5.136656599999999,119.4125815
"Jl. R A Kartini No. 12-14 Makassar, Kota Makassar, Sulawesi Selatan",Kota Makassar,Sulawesi Selatan,-5.1360999,119.4110919
"Jl. R A Kartini No. 12-14 Makassar, Kota Makassar, Sulawesi Selatan",Kota Makassar,Sulawesi Selatan,-5.1360999,119.4110919
"Jl. Monginsidi No.126, Maricaya, Kec. Makassar, Sulawesi Selatan",Kota Makassar,Sulawesi Selatan,-5.1490083,119.4244847
"Jl. Monginsidi No.126, Maricaya, Kec. Makassar, Sulawesi Selatan",Kota Makassar,Sulawesi Selatan,-5.1490083,119.4244847
Jl. Kh. Wahid Hasyim No. 49 Pasar Sentral Makassar,Kota Makassar,Sulawesi Selatan,-5.128156,119.413799
"Jl. K. H. Ramli No.22, Ende, Kec. Wajo, Kota Makassar, Sulawesi Selatan 90174",Kota Makassar,Sulawesi Selatan,-5.1292881,119.4141956
"Jl. Brigjend. Slamet Riyadi No. 8, Bulogading, Ujung Pandang, Bulo Gading, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90111, Ind",Kota Makassar,Sulawesi Selatan,-5.1337632,119.4065388
"Jl. Slamet Riyadi No. 8 Makassar, Kota Makassar, Sulawesi Selatan",Kota Makassar,Sulawesi Selatan,-5.1337632,119.4065388
Jl. Soekarno Hatta Kompleks Pelabuhan Soekarno Hatta Makassar,Kota Makassar,Sulawesi Selatan,-5.1224706,119.4077785
"Universitas Hasanuddin, Jl. Perintis Kemerdekaan, Tamalanrea Indah",Kota Makassar,Sulawesi Selatan,-5.1341871,119.4880786
"Jl. Sulawesi Kel. Pattunuang, Kec. Wajo Kota Makassar 90173",Kota Makassar,Sulawesi Selatan,-5.1294698,119.4077367
"Jl. Sulawesi Kel. Pattunuang, Kec. Wajo Kota Makassar 90173",Kota Makassar,Sulawesi Selatan,-5.1294698,119.4077367
"Jl. Veteran Utara No.206F, Lariang Bangi, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90151, Indonesia",Kota Makassar,Sulawesi Selatan,-5.1375354,119.4226239
"Jl. Veteran Utara No.206F, Lariang Bangi, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90151, Indonesia",Kota Makassar,Sulawesi Selatan,-5.1375354,119.4226239
"Jl. Penghibur No.16, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90111, Indonesia",Kota Makassar,Sulawesi Selatan,-5.1372205,119.4052833
"Jl. Penghibur No.16, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90111, Indonesia",Kota Makassar,Sulawesi Selatan,-5.1372205,119.4052833
"Jl. Poros Hasanuddin No. 27, Desa Tumampua, Pangkajene, Boriappaka, Pangkep, Kabupaten Pangkajene Dan Kepulauan, Sulawesi Se",Kota Makassar,Sulawesi Selatan,-4.8378397,119.5495843
"Jl. Sultan Hasanuddin Kab. Pangkep, Kota Makassar, Sulawesi Selatan",Kota Makassar,Sulawesi Selatan,-4.805035,119.5571677
"Jl. Kapasa Raya No.15, Daya, Kec. Biringkanaya, Ruko Pasar Daya Modern Kav. Ra 12",Kota Makassar,Sulawesi Selatan,-5.1042971,119.49679
"Jl. Kapasa Raya No.15, Daya, Kec. Biringkanaya, Ruko Pasar Daya Modern Kav. Ra 12",Kota Makassar,Sulawesi Selatan,-5.1042971,119.49679
"Jl. Kapasa Raya No.15, Daya, Kec. Biringkanaya, Ruko Pasar Daya Modern Kav. Ra 12",Kota Makassar,Sulawesi Selatan,-5.1042971,119.49679
"Pasar Sentral Karebosi, Pattunuang, Kec. Wajo, Kota Makassar, Sulawesi Selatan, Indonesia",Kota Makassar,Sulawesi Selatan,-5.132039,119.413427
"Pusat Grosir Modern Karebosi No.LT.1/A1, RT.001/RW.01, Pattunuang, Kec. Wajo, Kota Makassar, Sulawesi Selatan 90174, Indonesia",Kabupaten Maros,Sulawesi Selatan,-5.132054999999999,119.413201
"Ruko Bukit Khatulistiwa Blok B/9, Paccerakkang, SULAWESI SELATAN",Kota Makassar,Sulawesi Selatan,-5.1222412,119.5324272
"Ruko Pasar Daya Modern Kav. RA 12 & Swift Code, Jl. Kapasa Raya No.15, Daya, Kec. Biringkanaya, Kota Makassar, Sulawesi Selatan 90",Kota Makassar,Sulawesi Selatan,-5.1144726,119.5059536
"Jl. Yos Sudarso No.314, RT.001/RW.05, Tabaringan, Kec. Ujung Tanah, Kota Makassar, Sulawesi Selatan 90165, Indonesia",Kota Makassar,Sulawesi Selatan,-5.1188482,119.4186579
"Jl. Yos Sudarso No.314, RT.001/RW.05, Tabaringan, Kec. Ujung Tanah, Kota Makassar, Sulawesi Selatan 90165, Indonesia",Kota Makassar,Sulawesi Selatan,-5.1188482,119.4186579
"Jl. Yos Sudarso No.314, RT.001/RW.05, Tabaringan, Kec. Ujung Tanah, Kota Makassar, Sulawesi Selatan 90165, Indonesia",Kota Makassar,Sulawesi Selatan,-5.1188482,119.4186579
"Komp. Semen Tonasa , Bontoa, Kec. Minasatene, Sulawesi Selatan",Kota Makassar,Sulawesi Selatan,-4.7999844,119.6081805
"Jl. Perintis Kemerdekaan, Tamalanrea Jaya, Kec. Tamalanrea",Kota Makassar,Sulawesi Selatan,-5.1413308,119.4849608
"Jl. Jend. Sudirman Ruko Buttatoa No. 1, Turikale, Tamalanrea",Kabupaten Maros,Sulawesi Selatan,-5.0194959,119.572464
"Jl. Jend. Sudirman Ruko Buttatoa No. 1, Turikale,, Sulawesi Selatan",Kabupaten Maros,Sulawesi Selatan,-5.0128541,119.5763976
"Jl. Jend. Sudirman Ruko Buttatoa No. 1, Turikale,, Sulawesi Selatan",Kabupaten Maros,Sulawesi Selatan,-5.0128541,119.5763976
"Jl. Jend. Sudirman Ruko Buttatoa No. 1, Turikale, Tamalanrea",Kabupaten Maros,Sulawesi Selatan,-5.0194959,119.572464
"Jl. Arief Rate No.10, Mangkura, Kec. Ujung Pandang",Kota Makassar,Sulawesi Selatan,-5.1474745,119.4127402
"Jl. Tinumbu No.305, Pannampu, Kec. Tallo, Kota Makassar, Sulawesi Selatan 90111",Kota Makassar,Sulawesi Selatan,-5.1170551,119.4235285
"Kompleks Ruko Adiba Blok ATC-D4, Jl. Paccerakkang, Paccerakkang, Biringkanaya, Makassar City, South Sulawesi 90241, Indonesia",Kota Makassar,Sulawesi Selatan,-5.1264388,119.5222848
"Karuwesi Trade Center Blok 380-381 Jl. Urip Sumoharjo,",Kota Makassar,Sulawesi Selatan,-5.144765899999999,119.4644663
"Jl. Andi Isa No.9, Ujung Sabbang, Kec. Ujung, Kota",Kota Parepare,Sulawesi Selatan,-4.0097469,119.6223878
"Jl. Andi Isa No.9, Ujung Sabbang, Kec. Ujung, Kota",Kota Parepare,Sulawesi Selatan,-4.0097469,119.6223878
"Jl. Andi Isa No. 9, Ujung Sabbang, Kec. Ujung, Kota",Kota Parepare,Sulawesi Selatan,-4.0097469,119.6223878
"Jl. Andi Isa No.5, Ujung Sabbang, Kec. Ujung, Kota",Kota Parepare,Sulawesi Selatan,-4.0097469,119.6223878
"Jl. Andi Isa No.9, Ujung Sabbang, Kec. Ujung, Kota",Kota Parepare,Sulawesi Selatan,-4.0097469,119.6223878
"Jl. Gamalama Kav. 3, Soroako, Magani, Luwu Timur, Sulawesi Selatan",Kabupaten Luwu Timur,Sulawesi Selatan,-2.5275219,121.3585182
"Jl. Gamalama Kav. 3, Soroako, Magani, Luwu Timur, Sulawesi Selatan",Kabupaten Luwu Timur,Sulawesi Selatan,-2.5275219,121.3585182
"Jl. Gamalama Kav. 3, Soroako, Magani, Luwu Timur, Sulawesi Selatan",Kabupaten Luwu Timur,Sulawesi Selatan,-2.5275219,121.3585182
"Jl. Gamalama Kav. 3, Soroako, Magani, Luwu Timur, Kabupaten Luwu Timur, Sulawesi Tengah 92983, Indonesia",Kabupaten Luwu Timur,Sulawesi Selatan,-2.5273548,121.3584902
"Jl. Gamalama Kav. 3, Soroako, Magani, Luwu Timur, Sulawesi Selatan",Kabupaten Luwu Timur,Sulawesi Selatan,-2.5275219,121.3585182
"Jl. Andi Isa No.9, Ujung Sabbang, Kec. Ujung, Kota Parepare, Sulawesi Selatan 91114, Indonesia",Kota Parepare,Sulawesi Selatan,-4.010974,119.6226346
"Jl. Jend. Sudirman, No. 76, Maritengngae, Sulawesi Selatan",Kabupaten Sidenreng Rappang,Sulawesi Selatan,-3.9249507,119.7998156
"Jl. Jend. Sudirman, No. 76, Maritengngae, Sulawesi Selatan",Kabupaten Sidenreng Rappang,Sulawesi Selatan,-3.9249507,119.7998156
"Jl. Persatuan Raya No.57, Balangnipa, Sinjai Utara",Kabupaten Sinjai,Sulawesi Selatan,-5.1212973,120.2554871
"Jl. Persatuan Raya No.57, Balangnipa, Sinjai Utara",Kabupaten Sinjai,Sulawesi Selatan,-5.1212973,120.2554871
"Jl. Persatuan Raya No.57, Balangnipa, Sinjai Utara",Kabupaten Sinjai,Sulawesi Selatan,-5.1212973,120.2554871
