address,city,province,latitude,longitude
"Jl. Dr. Samratulangi No.19, Pakadoodan, Maesa, Kota Bitung, Sulawesi Utara, Indonesia",Kota Palu,Sulawesi Tengah,1.4447251,125.1741812
"Jl. Dr. Sam Ratulangi No. 60, Kota Palu, Sulawesi Tengah",Kota Palu,Sulawesi Tengah,-0.8856721999999999,119.8712536
"Jl. Dr. Sam Ratulangi No. 60, Kota Palu, Sulawesi Tengah",Kota Palu,Sulawesi Tengah,-0.8856721999999999,119.8712536
"Jl. Dr. Sam Ratulangi No. 60, Kota Palu, Sulawesi Tengah",Kota Palu,Sulawesi Tengah,-0.8856721999999999,119.8712536
"Jl. Dr. Sam Ratulangi No. 60, Kota Palu, Sulawesi Tengah",Kota Palu,Sulawesi Tengah,-0.8856721999999999,119.8712536
"Jl. Dr. Sam Ratulangi No. 60, Besusu Bar., Kec. Palu Tim., Kota Palu, Sulawesi Tengah 94111",Kota Palu,Sulawesi Tengah,-0.8856721999999999,119.8712536
"Jl. Basuki Rahmat, No. 30 / Petak 3, Kota Palu, Sulawesi Tengah",Kota Palu,Sulawesi Tengah,-0.9163793,119.8882857
"Jl. Basuki Rahmat, No. 30 / Petak 3, Kota Palu, Sulawesi Tengah",Kota Palu,Sulawesi Tengah,-0.9163793,119.8882857
"Jl. Basuki Rahmat, No. 30 / Petak 3, Kota Palu, Sulawesi Tengah",Kota Palu,Sulawesi Tengah,-0.9163793,119.8882857
"Jl. Trans Sulawesi, Fatufia, Kec. Bahodopi, Kabupaten Morowali, Sulawesi Tengah 94974, In",Kabupaten Morowali,Sulawesi Tengah,-2.5010067,121.9453785
"Desa Keure, Kec. Bahodopi, Kab. Morowali , Sulawesi Tengah",Kota Palu,Sulawesi Tengah,-2.9257603,122.026918
"Jl. Trans Sulawesi, Fatufia, Kec. Bahodopi, Kabupaten Morowali, Sulawesi Tengah 94974, In",Kota Palu,Sulawesi Tengah,-2.5010067,121.9453785
"Jl. Trans Sulawesi, Desa Fatufia, Kec. Bahodopi, Sulawesi Tengah",Kabupaten Morowali,Sulawesi Tengah,-2.5010067,121.9453785
"Jl. Trans Sulawesi, Fatufia, Kec. Bahodopi, Kabupaten Morowali, Sulawesi Tengah 94974, In",Kabupaten Morowali,Sulawesi Tengah,-2.5010067,121.9453785
"Jl. Imam Bonjol No.88, Baru, Kec. Palu Bar., Kota Palu, Sulawesi Tengah",Kota Palu,Sulawesi Tengah,-0.8963221,119.8589168
"Jl. Imam Bonjol No.88, Siranindi, Kec. Palu Bar., Kota Palu, Sulawesi Tengah",Kota Palu,Sulawesi Tengah,-0.8963221,119.8589168
"Jl. Imam Bonjol No.88, Baru, Kec. Palu Bar., Kota Palu, Sulawesi Tengah",Kota Palu,Sulawesi Tengah,-0.8963221,119.8589168
"Jl. Imam Bonjol No.88, Baru, Kec. Palu Bar., Kota Palu, Sulawesi Tengah",Kota Palu,Sulawesi Tengah,-0.8963221,119.8589168
"Jl. Imam Bonjol No.88, Baru, Kec. Palu Bar., Kota Palu, Sulawesi Tengah",Kota Palu,Sulawesi Tengah,-0.8963221,119.8589168
"Jl. Sultan Hasanuddin No.35, Lolu Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah",Kota Palu,Sulawesi Tengah,-0.8984493,119.8725385
"Jl. Sultan Hasanuddin No.35, Lolu Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah",Kota Palu,Sulawesi Tengah,-0.8984493,119.8725385
"Jl. Sultan Hasanuddin No.35, Lolu Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah",Kota Palu,Sulawesi Tengah,-0.8984493,119.8725385
"Jl. Sultan Hasanuddin No.35, Lolu Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah",Kota Palu,Sulawesi Tengah,-0.8984493,119.8725385
"Jl. Pettalolo No.78, Tj. Batu, Banawa, Kabupaten Donggala",Kabupaten Donggala,Sulawesi Tengah,-0.667229,119.7433919
"Luwuk, Banggai Regency, Central Sulawesi 94711, Indonesia",Kabupaten Banggai,Sulawesi Tengah,-0.9486910999999999,122.7907281
"Jl. Buol - Gorontalo, Buol, Biau, Kabupaten Buol, Sulawesi Tengah",Kabupaten Buol,Sulawesi Tengah,1.1567932,121.438585
"Jl. Buol - Gorontalo, Buol, Biau, Kabupaten Buol, Sulawesi Tengah",Kabupaten Buol,Sulawesi Tengah,1.1567932,121.438585
"Jl. Trans Sulawesi, Matansala, Bungku Tengah, Sulawesi Tengah",Kabupaten Morowali,Sulawesi Tengah,-2.522579,121.9551143
"Jl. Trans Sulawesi, Matansala, Bungku Tengah, Sulawesi Tengah",Kabupaten Morowali,Sulawesi Tengah,-2.522579,121.9551143
"Jl. Hi. Agussalim, Kasintuwu, Poso Kota, Kabupaten Poso",Kabupaten Poso,Sulawesi Tengah,-1.3877371,120.752867
"Jl. Pangeran Diponegoro No.31, Lombugia, Poso Kota Utara, Kabupaten Poso, Sulawesi Te",Kabupaten Poso,Sulawesi Tengah,-1.3880248,120.761305
"Jl. Hi. Agussalim, Kasintuwu, Poso Kota, Kabupaten Poso, Sulawesi Tengah",Kabupaten Poso,Sulawesi Tengah,-1.3877371,120.752867
"JL. PANGERAN DIPONEGORO NO.13, BONESOMPE, SULAWESI TENGAH",Kabupaten Poso,Sulawesi Tengah,-1.3877387,120.7612368
"Jln.tg.panginpuan (masomba, Tatura Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 941",Kota Palu,Sulawesi Tengah,-0.8679099,119.9046594
"Jl. Wr. Supratman, Baru, Baolan, Kabupaten Toli-Toli, Sulawesi Tengah",Kabupaten Toli-Toli,Sulawesi Tengah,1.0369624,120.8185571
"Jl. Wr. Supratman, Baru, Baolan, Kabupaten Toli-Toli",Kabupaten Toli-Toli,Sulawesi Tengah,1.0369624,120.8185571
"Jl. Wr. Supratman, Baru, Baolan, Kabupaten Toli-Toli, Sulawesi Tengah",Kabupaten Toli-Toli,Sulawesi Tengah,1.0369624,120.8185571
"Jl. Trans Sulawesi No. 117, Masigi, Parigi, Maesa, Parigi, Kabupaten Parigi Moutong, Sulaw",Kabupaten Parigi Moutong,Sulawesi Tengah,-0.8140077,120.17422
"Jl. Trans Sulawesi, Taipa, Tawaeli, Kota Palu, Sulawesi Tengah",Kota Palu,Sulawesi Tengah,-0.741047,119.8634906
"Jl. Trans Sulawesi, Desa Fatufia, Kec. Bahodopi, Sulawesi Tengah",Kabupaten Morowali,Sulawesi Tengah,-2.5010067,121.9453785
"Boyaoge, Kecamatan Tatanga, Palu City, Central Sulawesi 94111, Indonesia",Kota Palu,Sulawesi Tengah,-0.9108632000000001,119.8569307
"Jl. Soekarno Hatta, Tondo, Mantikulore, Kota Palu, Sulawesi Tengah",Kota Palu,Sulawesi Tengah,-0.8383852,119.8897832
"Jl. Balaikota Timur, Tanamodindi, Kec. Mantikulore",Kota Palu,Sulawesi Tengah,-0.9000726,119.892006
"Jl. Tanjung Manimbaya No.195, Tatura Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94",Kota Palu,Sulawesi Tengah,-0.9083817000000001,119.8889578
"Jl. Dewi Sartika, Birobuli Sel., Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94235, Indonesia",Kota Palu,Sulawesi Tengah,-0.930405,119.8972328
"Ampana Kota, Kabupaten Tojo Una-Una, Sulawesi Tengah 94683, Indonesia",Kabupaten Tojo Una-Una,Sulawesi Tengah,-0.9183931,121.5598345
"Ampana Kota, Kabupaten Tojo Una-Una, Sulawesi Tengah 94683, Indonesia",Kabupaten Tojo Una-Una,Sulawesi Tengah,-0.9183931,121.5598345
"Jl. Trans Sulawesi, Fatufia, Kec. Bahodopi, Kabupaten Morowali, Sulawesi Tengah 94974, In",Kabupaten Morowali,Sulawesi Tengah,-2.5010067,121.9453785
"Jl. Trans Sulawesi, Fatufia, Kec. Bahodopi, Kabupaten Morowali, Sulawesi Tengah 94974, In",Kabupaten Morowali,Sulawesi Tengah,-2.5010067,121.9453785
"Jl. Trans Sulawesi, Fatufia, Kec. Bahodopi, Kabupaten Morowali, Sulawesi Tengah 94974, In",Kabupaten Morowali,Sulawesi Tengah,-2.5010067,121.9453785
"Jl. Trans Sulawesi, Fatufia, Kec. Bahodopi, Kabupaten Morowali, Sulawesi Tengah 94974, In",Kabupaten Morowali,Sulawesi Tengah,-2.5010067,121.9453785
"Pantoloan, North Palu, Palu City, Central Sulawesi 94352",Kota Palu,Sulawesi Tengah,-1.088148,118.3480834
"Jl. Yos Sudarso No.33, Talise, Mantikulore, Kota Palu, Sulawesi Tengah 94118, Indonesia",Kota Palu,Sulawesi Tengah,-0.8738877,119.8741149
"Uso, Batui, Kabupaten Banggai, Sulawesi Tengah 94761, Indonesia",Kabupaten Banggai,Sulawesi Tengah,-1.1198794,122.4920088
"Tj. Batu, Banawa, Kabupaten Donggala, Sulawesi Tengah",Kabupaten Donggala,Sulawesi Tengah,-0.6697759999999999,119.7451375
"Jl. Trans Sulawesi Tolai - Parigi, Kabupaten Parigi Moutong, Sulawesi Tengah",Kabupaten Parigi Moutong,Sulawesi Tengah,-0.9781018,120.320688
"Jl. Hi.Moh.Saleh, Sandana, Galang, Kabupaten Toli-Toli, Sulawesi Tengah",Kabupaten Toli-Toli,Sulawesi Tengah,1.0794266,120.8036614
"Jl. Trans Sulawesi, Desa Fatufia, Kec. Bahodopi, Sulawesi Tengah",Kabupaten Morowali,Sulawesi Tengah,-2.5010067,121.9453785
"Jl. R.A. Kartini, Lolu Sel., Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111",Kota Palu,Sulawesi Tengah,-0.9013064,119.8814027
"Ampana Kota, Kabupaten Tojo Una-Una, Sulawesi Tengah 94683, Indonesia",Kabupaten Tojo Una-Una,Sulawesi Tengah,-0.9183931,121.5598345
"Jl. Towua No.11, Tatura Sel., Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111, Indonesia",Kota Palu,Sulawesi Tengah,-0.9208438999999999,119.8785259
"Jl. Dr. Moh. Hatta No.72, Kompo, Luwuk Sel., Kabupaten Banggai, Sulawesi Tengah 94713,",Kabupaten Banggai,Sulawesi Tengah,-0.9687839,122.7854602
"North Ampibabo, Ampibabo, Parigi Moutong Regency, Central Sulawesi 94474, Indonesia",Kabupaten Parigi Moutong,Sulawesi Tengah,-0.4449312,120.0405228
"Tondo, Mantikulore, Palu City, Central Sulawesi 94148, Indonesia",Kota Palu,Sulawesi Tengah,-0.8259982,119.9624902
"Mutiara SIS Al Jufri Airport, Jl. DR. Abdurrahman Saleh, Birobuli Utara, Kec. Palu Sel., Kota",Kota Palu,Sulawesi Tengah,-0.9186114999999999,119.9064474
"Desa Bubung, Kecamatan Luwuk, Kabupaten Banggai, Sulawesi Tengah",Kabupaten Banggai,Sulawesi Tengah,-0.938828,122.792801
"Pantoloan, Tawaeli, Kota Palu, Sulawesi Tengah, Sulawesi Tengah",Kota Palu,Sulawesi Tengah,-0.673877,119.8641634
"Jl. Poros Palu Bangga, Palupi, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94222, Indonesia",Kota Palu,Sulawesi Tengah,-0.929492,119.8561194
"Jl. Rusa, Talise, Kec. Palu Tim., Kota Palu, Sulawesi Tengah 94118, Indonesia",Kota Palu,Sulawesi Tengah,-0.876618,119.8742886
"Jl. Setia Budi, Sangele, Pamona Pusalemba, Kabupaten Poso, Sulawesi Tengah 94663, Indo",Kabupaten Poso,Sulawesi Tengah,-1.7594078,120.6453075
"Tawanjuka, Kec. Palu Sel., Kota Palu, Sulawesi Tengah",Kota Palu,Sulawesi Tengah,-0.9201143,119.8670563
"Jalan Sisingamangaraja No. 9A Besusu Timur Palu Timur, Talise, Mantikulore, Kota Palu, Su",Kota Palu,Sulawesi Tengah,-0.8891391,119.8854722
"Jl. Jenderal Sudirman, Batu Merah, Sirimau, Kota Ambon, Maluku, Indonesia",Kota Palu,Sulawesi Tengah,-3.678577,128.1938841
"Jl. Malonda, Watusampu, Kec. Palu Bar., Kota Palu, Sulawesi Tengah",Kota Palu,Sulawesi Tengah,-0.8366529,119.814215
"Luwuk, Banggai Regency, Central Sulawesi 94711, Indonesia",Kabupaten Banggai,Sulawesi Tengah,-0.9486910999999999,122.7907281
"Luwuk, Banggai Regency, Central Sulawesi 94711, Indonesia",Kabupaten Banggai,Sulawesi Tengah,-0.9486910999999999,122.7907281
"Luwuk, Banggai Regency, Central Sulawesi 94711, Indonesia",Kabupaten Banggai,Sulawesi Tengah,-0.9486910999999999,122.7907281
"Jl. Datu Pamusu No.22, Kamonji, Kec. Palu Bar., Kota Palu, Sulawesi Tengah 94111, Indone",Kota Palu,Sulawesi Tengah,-0.8953709999999999,119.8547495
"Jl. Trans Sulawesi, Fatufia, Kec. Bahodopi, Kabupaten Morowali, Sulawesi Tengah 94974, In",Kabupaten Morowali,Sulawesi Tengah,-2.5010067,121.9453785
"Jl. Trans Sulawesi, Desa Fatufia, Kec. Bahodopi, Sulawesi Tengah",Kabupaten Morowali,Sulawesi Tengah,-2.5010067,121.9453785
"Jl. Trans Sulawesi, Desa Fatufia, Kec. Bahodopi, Sulawesi Tengah",Kabupaten Morowali,Sulawesi Tengah,-2.5010067,121.9453785
"Jl. Trans Sulawesi, Desa Fatufia, Kec. Bahodopi, Sulawesi Tengah",Kabupaten Morowali,Sulawesi Tengah,-2.5010067,121.9453785
