address,city,province,latitude,longitude
"Jl. H. Abdullah Silondae 45, Mondonga - Kendari, Sulawesi Tenggara",Kota Kendari,Sulawesi Tenggara,-3.9633001,122.5191813
"Jl. H. Abdullah Silondae 45, Mondonga - Kendari, Sulawesi Tenggara",Kota Kendari,Sulawesi Tenggara,-3.9633001,122.5191813
"Jl. H. Abdullah Silondae 45, Mondonga - Kendari, Sulawesi Tenggara",Kota Kendari,Sulawesi Tenggara,-3.9633001,122.5191813
"Jl. H. Abdullah Silondae 45, Mondonga - Kendari, Sulawesi Tenggara",Kota Kendari,Sulawesi Tenggara,-3.9633001,122.5191813
"Jl. H. Abdullah Silondae 45, Mondonga - Kendari, Sulawesi Tenggara",Kota Kendari,Sulawesi Tenggara,-3.9633001,122.5191813
"Jl. H. Abdullah Silondae 45, Mondonga - Kendari, Sulawesi Tenggara",Kota Kendari,Sulawesi Tenggara,-3.9633001,122.5191813
"Jl. A Yani No. 40, Kompleks Antam Pomalaa, Sulawesi Tenggara",Kabupaten Kolaka,Sulawesi Tenggara,-3.9912316,122.5041327
"Jl. Sultan Hasanuddin No.9 E, Punggaloba, Kendari Bar., Kota Kendari, Sulawesi Tenggara 93123, Indonesia",Kota Kendari,Sulawesi Tenggara,-3.9656631,122.5631876
"Jl. Walter Monginsidi (Poros Bandara Haluleo), Sulawesi Tenggara",Kabupaten Pomalaa,Sulawesi Tenggara,-4.0415504,122.4636802
"Jl. Sultan Hasanuddin, No.66,Kel. Punggaloba Kec. Kendari Barat",Kota Kendari,Sulawesi Tenggara,-3.9634303,122.5453928
"Jl. Ahmad Yani, Kelurahan Kadia, Kecamatan Kadia, Sulawesi Tenggara",Kota Kendari,Sulawesi Tenggara,-3.9849234,122.5096827
"Jl. Khairil Anwar E. Kel No.34, Lamokato, Kolaka, Kabupaten Kolaka, Sulawesi Tenggara, Indonesia",Kabupaten Kolaka,Sulawesi Tenggara,-4.058657999999999,121.598664
"Jl. Khairil Anwar E. Kel No.34, Lamokato, Kolaka, Kabupaten Kolaka, Sulawesi Tenggara, Indonesia",Kabupaten Kolaka,Sulawesi Tenggara,-4.058657999999999,121.598664
"Jl. Khairil Anwar E. Kel No.34, Lamokato, Kolaka, Kabupaten Kolaka, Sulawesi Tenggara, Indonesia",Kabupaten Kolaka,Sulawesi Tenggara,-4.058657999999999,121.598664
"Jalan Bunggasi No. 9, Anduonohu, Poasia, Kendari, Kota Kendari, Sulawesi Tenggara 93231",Kota Kendari,Sulawesi Tenggara,-4.0014933,122.5347452
"Jl. Abdullah Silondae, tinanggea, Kabupaten Konawe Selatan, SULAWESI TENGGARA",Kabupaten Konawe Selatan,Sulawesi Tenggara,-4.4556119,122.2280157
"Jl. Lumba-Lumba,Kel. Laiworu, Kec. Batalaiworu, Sulawesi Tenggara",Kabupaten Muna,Sulawesi Tenggara,-4.8170416,122.7302201
"Jalan Batara Guru, Jl. Batara Guru No.17, Lanto, Murhum, Kota Bau-Bau, Sulawesi Tenggara 93717, Indonesia",Kota Bau-Bau,Sulawesi Tenggara,-5.4621943,122.6029443
