address,city,province,latitude,longitude
"Jl. Dotulolong Lasut No. 15, Wenang, Manado, Sulawesi Utara",Kota Manado,Sulawesi Utara,1.4909957,124.840826
"Jl. Dotulolong Lasut No. 15, Pinaesaan, Kota Manado, SULAWESI UTARA",Kota Manado,Sulawesi Utara,1.4909957,124.840826
"Jl. Dotulolong Lasut No. 15, Wenang, Manado, Sulawesi Utara",Kota Manado,Sulawesi Utara,1.4909957,124.840826
"Kompleks Megamas Blok 1A No. 23, Jl. E.A. Mangindaan No.2, Manado",Kota Manado,Sulawesi Utara,1.4845167,124.8352685
"Jl. Sam Ratulangi, Matani Tiga, Kec. Tomohon Tengah, Kota Tomohon",Kota Tomohon,Sulawesi Utara,1.3190661,124.8396285
"Jl. Sam Ratulangi, Matani Tiga, Kec. Tomohon Tengah, Kota Tomohon",Kota Tomohon,Sulawesi Utara,1.3190661,124.8396285
"Bahu Mall S/ 12, Jl. Wolter Monginsidi, Bahu, Sulawesi Utara",Kota Manado,Sulawesi Utara,1.4623338,124.8252763
"Bahu Mall S/ 12, Jl. Wolter Monginsidi, Bahu, Sulawesi Utara",Kota Manado,Sulawesi Utara,1.4623338,124.8252763
"Jl. Sisingamangaraja No. 63, Calaca, Kota Manado, Sulawesi Utara",Kota Manado,Sulawesi Utara,1.49543,124.8445283
"Jl. Toar No. 4-6, Wenang Utara, Kec. Wenang, Manado",Kota Manado,Sulawesi Utara,1.4825842,124.8389618
"Jl. Toar No. 4-6, Wenang Utara, Kec. Wenang, Manado",Kota Manado,Sulawesi Utara,1.4825842,124.8389618
"Jl. R. E. Martadinata, Dendengan Luar, Tikala, Kota Manado",Kota Manado,Sulawesi Utara,1.4869391,124.8557677
"Jl. Martadinata, Dendengan Luar, Paal Dua, Kota Manado, Sulawesi Utara 95127",Kota Manado,Sulawesi Utara,1.4869391,124.8557677
"Airmadidi Atas, Kec. Airmadidi, Kabupaten Minahasa Utara, Sulawesi Utara",Kabupaten Minahasa Utara,Sulawesi Utara,1.4408276,125.0002604
"Airmadidi Atas, Kec. Airmadidi, Kabupaten Minahasa Utara, Sulawesi Utara",Kabupaten Minahasa Utara,Sulawesi Utara,1.4408276,125.0002604
"Jl. Piere Tendean, Sulawesi Utara, Kota Manado, Sulawesi Utara",Kota Manado,Sulawesi Utara,1.479018,124.8347007
"Jl. Ahmad Yani No.59, Kotamobagu, Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara 95711, I",Kota Kotamobagu,Sulawesi Utara,0.7392029,124.309662
"Jl. Ahmad Yani No.59, Kotamobagu, Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara 95711, I",Kota Kotamobagu,Sulawesi Utara,0.7392029,124.309662
"Jl. Dr. Samratulangi No.19, Pakadoodan, Maesa, Kota Bitung, Sulawesi Utara, Indonesia",Kota Bitung,Sulawesi Utara,1.4447251,125.1741812
"Jl. Dr. Samratulangi No.19, Pakadoodan, Maesa, Kota Bitung, Sulawesi Utara, Indonesia",Kota Bitung,Sulawesi Utara,1.4447251,125.1741812
