address,city,province,latitude,longitude
"Jl. Bagindo Aziz Chan No.12, RW.05, Belakang Tangsi, Kec. Padang Bar., Kota Padang, Sumatera Barat 25133",Kota Padang,Sumatera Barat,-0.9517848999999999,100.3637614
"Jl. Bagindo Aziz Chan No.12, RW.05, Belakang Tangsi, Kec. Padang Bar., Kota Padang, Sumatera Barat 25133",Kota Padang,Sumatera Barat,-0.9517848999999999,100.3637614
"Jl. Bagindo Azis Chan No.12 Padang, Kota Padang, Sumatra Barat",Kota Padang,Sumatera Barat,-0.9372047,100.3759986
"Alang Lawas No.2, Alang Laweh, Kec. Padang Sel., Kota Padang, Sumatera Barat 25133, Indonesia",Kota Padang,Sumatera Barat,-0.9524051000000001,100.3641744
"JL. LINTAS SUMATERA NO.2, SUNGAI RUMBAI, DHARMASRAYA",Kabupaten Dharmasraya,Sumatera Barat,-1.2060138,101.7299907
"Jl. Raya Lintas Sumatera No.2 S. Rumbai, Sumatra Barat",Kabupaten Dharmasraya,Sumatera Barat,0.5720611999999999,101.3975125
"Jl. By Pass No.7-8, Tarok Dipo, Kec. Guguk Panjang, Kota Bukittinggi, Sumatera Barat 26138, Indonesia",Kota Bukittinggi,Sumatera Barat,-0.3139773,100.3874873
"Jln. Raya By Pass No 7-8,Tarok Dipo, Kec.Guguk Panjang, Kota Bukittinggi, Sumatera Barat 26138",Kota Bukittinggi,Sumatera Barat,-0.3139773,100.3874873
"Jln. Jenderal Sudirman No 14 Kota Payakumbuh, Sumatera Barat 26222",Kota Payakumbuh,Sumatera Barat,-0.2176549,100.6419623
"Jl. Sudirman No.14a, RW.RT.1, Labuh Baru, Kec. Payakumbuh Utara, Kota Payakumbuh, Sumatera Barat 262",Kota Payakumbuh,Sumatera Barat,-0.2237315,100.6330825
"Jl. Sudirman No.14a, RW.RT.1, Labuh Baru, Kec. Payakumbuh Utara, Kota Payakumbuh, Sumatera Barat 262",Kota Payakumbuh,Sumatera Barat,-0.2237315,100.6330825
"Jl. Jend.Sudirman No.101, Pasaman Baru, Kabupaten Pasaman, Sumatra Barat",Kabupaten Pasaman,Sumatera Barat,0.1404621,100.16754
"Jl. Sudirman No.101 Simpang Empat, Kabupaten Pasaman Barat, Sumatra Barat",Kabupaten Pasaman Barat,Sumatera Barat,0.5112912,101.4487708
"Jl. Komplek Unand Limau Manis, Pauh, Kota Padang, Sumatra Barat",Kota Padang,Sumatera Barat,-0.9492388,100.4521068
"Jl. By Pass No.3, Pisang, Kec. Kuranji, Kota Padang, Sumatera Barat 25167, Indonesia",Kota Padang,Sumatera Barat,-0.9408683,100.3996812
"Jl. By Pass No.3, Pisang, Kec. Kuranji, Kota Padang, Sumatera Barat 25167, Indonesia",Kota Padang,Sumatera Barat,-0.9408683,100.3996812
"Jl. By pass km 7,kel pisang kec. Pauh, Ps. Ambacang, Kec. Kuranji, Kota Padang, Sumatera Barat 25161, Indo",Kota Padang,Sumatera Barat,-0.9447662,100.4004381
"Jl. H. Agus Salim No.6, Sawahan, Kec. Padang Tim., Kota Padang, Sumatera Barat, Indonesia",Kota Padang,Sumatera Barat,-0.9476528999999999,100.3634964
"Jl. H. Agus Salim No.6, Sawahan, Kec. Padang Tim., Kota Padang, Sumatera Barat, Indonesia",Kota Padang,Sumatera Barat,-0.9476528999999999,100.3634964
