address,city,province,latitude,longitude
"Jl. Jend. Sudirman No.59e, 24 Ilir, Kec. Bukit Kecil, Kota Palembang, Sumatera Selatan 30134, Indonesia",Kota Palembang,Sumatera Selatan,-2.9805946,104.7555855
"Jl. Jend. Sudirman No.419, 24 Ilir, Kec. Bukit Kecil, Kota Palembang, Sumatera Selatan 30134",Kota Palembang,Sumatera Selatan,-2.9811558,104.7560705
"Jl. Jend Sudirman No 419 Palembang, Kota Palembang, Sumatra Selatan",Kota Palembang,Sumatera Selatan,-2.9745721,104.7529442
"Jl. H Bastari Komplek Opi Business Centre (Obc) Blok D6 & D7, Jaka Baring",Kota Palembang,Sumatera Selatan,-3.0105754,104.7762994
"Jl H Bastari Jakabaring Palembang, Kota Palembang, Sumatra Selatan",Kota Palembang,Sumatera Selatan,-3.0105754,104.7762994
"Jl. Mayor Ruslan Blok A No. 775, Pasar Baru, Sumatra Selatan",Kabupaten Lahat,Sumatera Selatan,-3.790526,103.53805
"Jl. Mayor Ruslan Blok A No. 7-8 Lahat, Kabupaten Lahat, Sumatra Selatan",Kabupaten Lahat,Sumatera Selatan,-3.7895418,103.538985
Jl. Mayor Ruslan Ii Ruko Citra Niaga Blok A No. 7-8 Pasar Baru,Kabupaten Lahat,Sumatera Selatan,-6.1671806,106.8340622
"Jl. May Ruslan Iii No.8, Ps. Lama, Kec. Lahat, Kabupaten Lahat, Sumatera Selatan 31419",Kabupaten Lahat,Sumatera Selatan,-3.7818436,103.5451374
"Jl. Let. Idham No.99, Ps. Ii Muara Enim, Sumatra Selatan",Kabupaten Muara Enim,Sumatera Selatan,-3.6561276,103.7748614
"Jl. Laskar Ujang Hamid No.85, Ps. I Muara Enim, Kec. Muara Enim, Kabupaten Muara Enim, Sumatera Selatan 31315, Indonesia",Kabupaten Muara Enim,Sumatera Selatan,-3.6561101,103.7737809
"Jl. Let. Idham No.99, Ps. Ii Muara Enim, Kec. Muara Enim, Kabupaten Muara Enim, Sumatera Selatan 31315",Kabupaten Muara Enim,Sumatera Selatan,-3.6561276,103.7748614
"Jl. Kolonel Atmo No.118, 17 Ilir, Kec. Ilir Tim. I, Kota Palembang",Kota Palembang,Sumatera Selatan,-2.9857451,104.7617336
Jl Pasar Baru Gumawang Bk 10 Ogan Komering Ulu Timur Sumatera Selatan,Kabupaten Ogan Komering Ulu Timur,Sumatera Selatan,-4.1090654,104.6480475
"Jl. Pasar Baru Gumawang Bk 10 Belitang, Kabupaten Ogan Komering Ulu Timur, Sumatra Selatan",Kabupaten Ogan Komering Ulu Timur,Sumatera Selatan,-4.1090654,104.6480475
"Jl Pasar Baru Gumawang Bk 10 Belitang Okut, Sumatra Selatan",Kabupaten Ogan Komering Ulu Timur,Sumatera Selatan,-4.1090654,104.6480475
"Jln Tengkuruk Permai No.115 Blok C Pasar 16 Ilir, Sumatra Selatan",Kota Palembang,Sumatera Selatan,-2.9887957,104.7630219
"Jl Tengkuruk Permai No 116 Palemabng, Kota Palembang, Sumatra Selatan",Kota Palembang,Sumatera Selatan,-2.9881431,104.7616265
"Jl. Kapt. A. Rivai No. 4, Palembang, Kota Palembang, Sumatra Selatan",Kota Palembang,Sumatera Selatan,-2.9770366,104.7520484
"Jl. Lettu Hamid No.30 Pagar Alam Selatan, Sumatra Selatan",Kota Pagar Alam,Sumatera Selatan,-4.0223818,103.2505926
"Talang Padang Tinggi, Pajar Bulan, Kabupaten Lahat, Sumatera Selatan 31356, Indonesia",Kota Pagar Alam,Sumatera Selatan,-4.010121799999999,103.324078
"Jl. Komp. Pertamina Plaju, Komperta, Kec. Plaju, Kota Palembang, Sumatera Selatan 30967, Indonesia",Kota Palembang,Sumatera Selatan,-2.9943882,104.82658
"Jl. Kurnia Komp. Pertamina Plaju, Kota Palembang, Sumatra Selatan",Kota Palembang,Sumatera Selatan,-2.9935905,104.8253897
"Komp. Pertamina Plaju Uep Iii, Jl. Kurnia Komperta, Plaju",Kota Palembang,Sumatera Selatan,-2.9935905,104.8253897
"Komplek Pertamina Ii, Jl. Cemara 18, Kabupaten Penukal Abab Lematang Ilir, Sumatra Selatan",Kabupaten Penukal Abab Lematang Ilir,Sumatera Selatan,-3.2644347,103.8202328
"Jl Cemara Komp Pertamina Uep Iii, Kota Prabumulih, Sumatra Selatan",Kota Prabumulih,Sumatera Selatan,-3.421152,104.249505
"Komplek Pertamina Ii, Jl. Cemara 18, Kabupaten Penukal Abab Lematang Ilir, Sumatra Selatan",Kabupaten Penukal Abab Lematang Ilir,Sumatera Selatan,-3.2644347,103.8202328
"Jl Pramuka Komplek Pertamina Prabumulih, Sumatra Selatan",Kota Prabumulih,Sumatera Selatan,-3.4213796,104.2436791
"Jl Pramuka Komp Pertamina Kota Prabumulih Sumsel, Sumatra Selatan",Kota Prabumulih,Sumatera Selatan,-3.4373728,104.2283364
"Gedung YDPK, Jl. May Zen No.9, Sei Selayur, Kec. Kalidoni, Kota Palembang, Sumatera Selatan 30119",Kota Palembang,Sumatera Selatan,-2.9684371,104.8024693
"Jl. Mayor Zen No. 9, Gedung Ydpk, Kota Palembang, Sumatra Selatan",Kota Palembang,Sumatera Selatan,-2.9684371,104.8024693
"Halte Pupuk Sriwijaya A, Sei Selayur, Kec. Kalidoni, Kota Palembang, Sumatera Selatan, Indonesia",Kota Palembang,Sumatera Selatan,-2.96876,104.806415
