address,latitude,longitude,Bank
GIANT KENTEN CRM 1 JL MP MANGKU NEGARA KEL 8 ILIR PALEMBANG,-2.941600000,104.766800000,BCA
INDOMARET AHMAD YANI 62 SALATIGA JL A YANI 62 KALICACING SIDOMUKTI SALATIGA,-7.334700000,110.501400000,BCA
INDOMARET ANWAR ARSYAD PLG JL KAPT ANWAR ARSYAD KEL SIRING AGUNG KEC ILIR BARAT I PALEMBANG,-2.967000000,104.724400000,BCA
INDOMARET ABIHASAN PALEMBANG JL SIRNARAGA KECILIRTIMURII PALEMBANG,-2.942300000,104.761500000,BCA
"RAMAYANA SALATIGA JL. JEND. SUDIRMAN NO. 1, SALATIGA",-7.324700000,110.505300000,BCA
INDOMARET KARANGAWEN CRM 1 JL KARANGAWEN RAYA BRAMBANG DEMAK,-7.045155000,110.578962000,BCA
"ADA BARU JL. JEND.SUDIRMAN 20, SALATIGA",-7.328100000,110.504700000,BCA
"SLEMAN CITY HALL CRM 1 JL MAGELANG KM 9,6 NO18 DENGGUNG, TRIDADI, SLEMAN,",-7.720500000,110.361300000,BCA
INDOMARET MANGKUNEGARA 2 PLG JL. MANGKUNEGARA PALEMBANG,-2.936600000,104.768000000,BCA
"ALFAMART MUSI RAYA BARAT PALEMBANG CRM 1 JL MUSI RAYA BARAT RT 44/13, SIALANG, SAKO, PALEMB",-2.929100000,104.779800000,BCA
"KENTEN CRM 2 JL MP MANGKUNEGARA NO 016-017, PALEMBANG",-2.936532000,104.767965000,BCA
"KENTEN CRM 3 JL MP MANGKUNEGARA NO 016-017, PALEMBANG",-2.936532000,104.767965000,BCA
"KENTEN CRM 4 JL MP MANGKUNEGARA NO 016-017, PALEMBANG",-2.936532000,104.767965000,BCA
"KENTEN CRM 1 JL MP MANGKUNEGARA NO 016-017, PALEMBANG",-2.936532000,104.767965000,BCA
"RUKAN ARIO KEMUNING JL JENDRAL SUDIRMAN KM 4,5 PALEMBANG",-2.956100000,104.735700000,BCA
SUPERINDO SUDIRMAN SALATIGA JL JEND SUDIRMAN RT 002/ RW 004 KEL GENDONGAN KEC TINGKIR SALATIGA,-7.335400000,110.504700000,BCA
INDOMARET ANGKATAN 66 - 2 PLG JL. ANGKATAN 66 SKIP UJUNG - PALEMBANG,-2.945200000,104.751900000,BCA
ALFAMART NULIS JL RINGROAD SELATAN NO 124 KEL TAMANTIRTO KEC KASIHAN BANTUL,-7.809900000,110.324700000,BCA
INDOMARET PRUMNAS RAYA PALEMBANG CRM 1 JL PRUMNAS RAYA KEC SAKO PALEMBANG,-2.927600000,104.776800000,BCA
INDOMARET H SANUSI PLG CRM 1 JL H SANUSI KEC KEMUNING PALEMBANG,-2.948817000,104.742300000,BCA
GODEAN CRM 1 KOMP PERTOTMBKMASNO5A JL RY GODEANBANTULYOGYA,-7.778923860,110.340646400,BCA
GODEAN CRM 2 KOMP PERTOTMBKMASNO5A JL RY GODEANBANTULYOGYA,-7.778923860,110.340646400,BCA
GODEAN CRM 3 KOMP PERTOTMBKMASNO5A JL RY GODEANBANTULYOGYA,-7.778923860,110.340646400,BCA
INDOMARET TAMANTIRTO JL RINGROAD SELATAN TAMANTIRTO KASIHAN BANTUL,-7.815200000,110.324300000,BCA
INDOMARET POINT OFFICE PALEMBANG CRM 1 JL PANGERAN AYIN KEC SAKO PALEMBANG,-2.947483000,104.743681000,BCA
"ALFAMART SAKO SIARAN PALEMBANG JL SIARAN, KEC SAKO, PALEMBANG",-2.922700000,104.782200000,BCA
INDOMARET SIMPANG BLK PALEMBANG CRM 1 JL MP MANGKUNEGARA KEC SAKO PALEMBANG,-2.929828000,104.770404000,BCA
INDOMARET VETERAN SALATIGA JL VETERAN NO 41 LEDOK ARGOMULYO SALATIGA,-7.341200000,110.508000000,BCA
ALFAMART KOPRAL ANWAR JL KOPRAL ANWAR ( SAKO RAYA ) PALEMBANG,-2.922200000,104.779200000,BCA
CRM INDOMARET PATRAN JL GODEAN PATRAN RT 04 RW 01 KEL BANYURADEN KEC GA,-7.779770000,110.342950000,BCA
ALFAMART GANDA SUBRATA JL GANDA SUBRATA SAKO KOTA KOTA PALEMBANG,-2.931600000,104.763000000,BCA
ALFAMART ABUSAMAH JL RA ABUSAMAH SUKARAME PALEMBANG,-2.943400000,104.744000000,BCA
"ALFAMART SENDANGADI CRM 1 JL MAGELANG KM 7,5 SLEMAN",-7.739498000,110.362385000,BCA
"HOTEL ATRIUM YOGYAKARTA 1 JL KEBON AGUNG NO 20 MLATI, SLEMAN, YOGYAKARTA",-7.747500000,110.359800000,BCA
CIRCLE K MAGELANG KM 7 CRM 1 JL RAYA MAGELANG KM 7 NO 9 YOGYAKARTA,-7.742666000,110.362469000,BCA
"ALFAMART ABUSAMA II JL RA ABUSAMA, SUKARAME PALEMBANG",-2.940900000,104.743300000,BCA
